service_id,date,exception_type
416:20251231,20251231,1
M113:20251231,20251231,2
127:20251231,20251231,1
647:20251231,20251231,2
144:20251231,20251231,1
638:20251231,20251231,2
604:20251231,20251231,2
503:20251231,20251231,1
655:20251231,20251231,2
140:20251231,20251231,1
625:20251231,20251231,2
135:20251231,20251231,1
M135:20251231,20251231,2
114:20251231,20251231,1
115:20251231,20251231,1
404:20251231,20251231,1
M102:20251231,20251231,2
113:20251231,20251231,1
120:20251231,20251231,1
M119:20251231,20251231,2
M108:20251231,20251231,2
610:20251231,20251231,2
104:20251231,20251231,1
621:20251231,20251231,2
822:20251231,20251231,1
848:20251231,20251231,2
M138:20251231,20251231,2
M118:20251231,20251231,2
622:20251231,20251231,2
M109:20251231,20251231,2
602:20251231,20251231,2
142:20251231,20251231,1
606:20251231,20251231,2
613:20251231,20251231,2
110:20251231,20251231,1
M122:20251231,20251231,2
624:20251231,20251231,2
145:20251231,20251231,1
137:20251231,20251231,1
M160:20251231,20251231,2
M129:20251231,20251231,2
161:20251231,20251231,1
405:20251231,20251231,1
164:20251231,20251231,1
M120:20251231,20251231,2
171:20251231,20251231,1
814:20251231,20251231,1
129:20251231,20251231,1
526:20251231,20251231,1
M121:20251231,20251231,2
154:20251231,20251231,1
408:20251231,20251231,1
412:20251231,20251231,1
634:20251231,20251231,2
M158:20251231,20251231,2
M167:20251231,20251231,2
M133:20251231,20251231,2
514:20251231,20251231,1
M136:20251231,20251231,2
123:20251231,20251231,1
620:20251231,20251231,2
M114:20251231,20251231,2
429:20251231,20251231,1
M148:20251231,20251231,2
612:20251231,20251231,2
617:20251231,20251231,2
M164:20251231,20251231,2
157:20251231,20251231,1
811:20251231,20251231,1
M157:20251231,20251231,2
146:20251231,20251231,1
M130:20251231,20251231,2
165:20251231,20251231,1
128:20251231,20251231,1
141:20251231,20251231,1
420:20251231,20251231,1
651:20251231,20251231,2
659:20251231,20251231,2
M174:20251231,20251231,2
605:20251231,20251231,2
652:20251231,20251231,2
M128:20251231,20251231,2
M131:20251231,20251231,2
169:20251231,20251231,1
134:20251231,20251231,1
409:20251231,20251231,1
665:20251231,20251231,2
628:20251231,20251231,2
151:20251231,20251231,1
527:20251231,20251231,1
425:20251231,20251231,1
643:20251231,20251231,2
616:20251231,20251231,2
637:20251231,20251231,2
M112:20251231,20251231,2
M146:20251231,20251231,2
654:20251231,20251231,2
174:20251231,20251231,1
M134:20251231,20251231,2
121:20251231,20251231,1
614:20251231,20251231,2
155:20251231,20251231,1
636:20251231,20251231,2
117:20251231,20251231,1
112:20251231,20251231,1
147:20251231,20251231,1
M168:20251231,20251231,2
M154:20251231,20251231,2
640:20251231,20251231,2
153:20251231,20251231,1
635:20251231,20251231,2
M106:20251231,20251231,2
158:20251231,20251231,1
M171:20251231,20251231,2
133:20251231,20251231,1
M159:20251231,20251231,2
519:20251231,20251231,1
M155:20251231,20251231,2
M140:20251231,20251231,2
M147:20251231,20251231,2
148:20251231,20251231,1
M165:20251231,20251231,2
661:20251231,20251231,2
633:20251231,20251231,2
M156:20251231,20251231,2
668:20251231,20251231,2
M149:20251231,20251231,2
M161:20251231,20251231,2
428:20251231,20251231,1
648:20251231,20251231,2
511:20251231,20251231,1
413:20251231,20251231,1
M145:20251231,20251231,2
M169:20251231,20251231,2
615:20251231,20251231,2
M111:20251231,20251231,2
156:20251231,20251231,1
M137:20251231,20251231,2
510:20251231,20251231,1
507:20251231,20251231,1
816:20251231,20251231,1
109:20251231,20251231,1
M115:20251231,20251231,2
M142:20251231,20251231,2
168:20251231,20251231,1
656:20251231,20251231,2
122:20251231,20251231,1
173:20251231,20251231,1
819:20251231,20251231,2
641:20251231,20251231,2
627:20251231,20251231,2
M127:20251231,20251231,2
417:20251231,20251231,1
131:20251231,20251231,1
101:20251231,20251231,1
167:20251231,20251231,1
143:20251231,20251231,1
116:20251231,20251231,1
424:20251231,20251231,1
629:20251231,20251231,2
170:20251231,20251231,1
M163:20251231,20251231,2
807:20251231,20251231,1
662:20251231,20251231,2
M176:20251231,20251231,2
809:20251231,20251231,1
176:20251231,20251231,1
631:20251231,20251231,2
646:20251231,20251231,2
825:20251231,20251231,2
125:20251231,20251231,1
401:20251231,20251231,1
106:20251231,20251231,1
M143:20251231,20251231,2
M124:20251231,20251231,2
150:20251231,20251231,1
163:20251231,20251231,1
609:20251231,20251231,2
639:20251231,20251231,2
M152:20251231,20251231,2
139:20251231,20251231,1
619:20251231,20251231,2
660:20251231,20251231,2
840:20251231,20251231,2
506:20251231,20251231,1
523:20251231,20251231,1
M173:20251231,20251231,2
649:20251231,20251231,2
111:20251231,20251231,1
658:20251231,20251231,2
152:20251231,20251231,1
518:20251231,20251231,1
502:20251231,20251231,1
M123:20251231,20251231,2
102:20251231,20251231,1
607:20251231,20251231,2
421:20251231,20251231,1
644:20251231,20251231,2
522:20251231,20251231,1
805:20251231,20251231,1
138:20251231,20251231,1
103:20251231,20251231,1
630:20251231,20251231,2
603:20251231,20251231,2
126:20251231,20251231,1
515:20251231,20251231,1
136:20251231,20251231,1
119:20251231,20251231,1
160:20251231,20251231,1
M144:20251231,20251231,2
108:20251231,20251231,1
642:20251231,20251231,2
663:20251231,20251231,2
132:20251231,20251231,1
M132:20251231,20251231,2
166:20251231,20251231,1
118:20251231,20251231,1
M151:20251231,20251231,2
M104:20251231,20251231,2
107:20251231,20251231,1
M116:20251231,20251231,2
611:20251231,20251231,2
657:20251231,20251231,2
645:20251231,20251231,2
159:20251231,20251231,1
M103:20251231,20251231,2
626:20251231,20251231,2
M170:20251231,20251231,2
M172:20251231,20251231,2
162:20251231,20251231,1
M101:20251231,20251231,2
M126:20251231,20251231,2
820:20251231,20251231,1
M166:20251231,20251231,2
M105:20251231,20251231,2
M139:20251231,20251231,2
632:20251231,20251231,2
650:20251231,20251231,2
M125:20251231,20251231,2
M141:20251231,20251231,2
M162:20251231,20251231,2
M153:20251231,20251231,2
130:20251231,20251231,1
149:20251231,20251231,1
M117:20251231,20251231,2
124:20251231,20251231,1
M107:20251231,20251231,2
664:20251231,20251231,2
M150:20251231,20251231,2
105:20251231,20251231,1
M110:20251231,20251231,2
623:20251231,20251231,2
172:20251231,20251231,1
653:20251231,20251231,2
601:20251231,20251231,2
608:20251231,20251231,2
618:20251231,20251231,2
M172:20251231,20251230,2
654:20251231,20251230,2
429:20251231,20251230,1
413:20251231,20251230,1
M111:20251231,20251230,2
660:20251231,20251230,2
515:20251231,20251230,1
M139:20251231,20251230,2
109:20251231,20251230,1
647:20251231,20251230,2
649:20251231,20251230,2
164:20251231,20251230,1
640:20251231,20251230,2
664:20251231,20251230,2
409:20251231,20251230,1
161:20251231,20251230,1
101:20251231,20251230,1
156:20251231,20251230,1
118:20251231,20251230,1
M176:20251231,20251230,2
606:20251231,20251230,2
518:20251231,20251230,1
604:20251231,20251230,2
126:20251231,20251230,1
158:20251231,20251230,1
658:20251231,20251230,2
507:20251231,20251230,1
610:20251231,20251230,2
M170:20251231,20251230,2
614:20251231,20251230,2
M103:20251231,20251230,2
176:20251231,20251230,1
M113:20251231,20251230,2
629:20251231,20251230,2
M149:20251231,20251230,2
M158:20251231,20251230,2
638:20251231,20251230,2
M135:20251231,20251230,2
646:20251231,20251230,2
634:20251231,20251230,2
650:20251231,20251230,2
112:20251231,20251230,1
522:20251231,20251230,1
M122:20251231,20251230,2
117:20251231,20251230,1
648:20251231,20251230,2
609:20251231,20251230,2
M134:20251231,20251230,2
M169:20251231,20251230,2
123:20251231,20251230,1
141:20251231,20251230,1
M160:20251231,20251230,2
523:20251231,20251230,1
622:20251231,20251230,2
M147:20251231,20251230,2
M114:20251231,20251230,2
617:20251231,20251230,2
167:20251231,20251230,1
M129:20251231,20251230,2
643:20251231,20251230,2
105:20251231,20251230,1
M141:20251231,20251230,2
404:20251231,20251230,1
119:20251231,20251230,1
M121:20251231,20251230,2
142:20251231,20251230,1
657:20251231,20251230,2
163:20251231,20251230,1
639:20251231,20251230,2
M108:20251231,20251230,2
510:20251231,20251230,1
M120:20251231,20251230,2
820:20251231,20251230,1
138:20251231,20251230,1
652:20251231,20251230,2
506:20251231,20251230,1
425:20251231,20251230,1
M173:20251231,20251230,2
659:20251231,20251230,2
822:20251231,20251230,1
110:20251231,20251230,1
405:20251231,20251230,1
M124:20251231,20251230,2
635:20251231,20251230,2
M161:20251231,20251230,2
527:20251231,20251230,1
172:20251231,20251230,1
135:20251231,20251230,1
134:20251231,20251230,1
663:20251231,20251230,2
