route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,112:20251231,112:20251231,San Jose Diridon,112,1,,,1,1
Local Weekday,M122:20251231,M122:20251231,San Jose Diridon,M122,1,,,1,1
Local Weekday,M126:20251231,M126:20251231,San Jose Diridon,M126,1,,,1,1
Local Weekend,656:20251231,656:20251231,San Jose Diridon,656,1,,,1,1
Local Weekday,172:20251231,172:20251231,San Jose Diridon,172,1,,,1,1
Local Weekday,M101:20251231,M101:20251231,San Francisco,M101,0,,,1,1
Local Weekend,648:20251231,648:20251231,San Jose Diridon,648,1,,,1,1
Local Weekday,M142:20251231,M142:20251231,San Jose Diridon,M142,1,,,1,1
Local Weekday,M105:20251231,M105:20251231,San Francisco,M105,0,,,1,1
Local Weekday,M107:20251231,M107:20251231,San Francisco,M107,0,,,1,1
Local Weekday,M167:20251231,M167:20251231,San Francisco,M167,0,,,1,1
Local Weekend,632:20251231,632:20251231,San Jose Diridon,632,1,,,1,1
South County,840:20251231,840:20251231,Gilroy,840,1,,,1,1
Local Weekday,M111:20251231,M111:20251231,San Francisco,M111,0,,,1,1
Local Weekday,M123:20251231,M123:20251231,San Francisco,M123,0,,,1,1
Local Weekend,657:20251231,657:20251231,San Francisco,657,0,,,1,1
Express,526:20251231,526:20251231,San Jose Diridon,526,1,,,1,1
Local Weekday,105:20251231,105:20251231,San Francisco,105,0,,,1,1
Local Weekend,609:20251231,609:20251231,San Francisco,609,0,,,1,1
Local Weekend,621:20251231,621:20251231,San Francisco,621,0,,,1,1
Local Weekday,134:20251231,134:20251231,San Jose Diridon,134,1,,,1,1
Local Weekend,629:20251231,629:20251231,San Francisco,629,0,,,1,1
Local Weekday,M141:20251231,M141:20251231,San Francisco,M141,0,,,1,1
Local Weekday,106:20251231,106:20251231,San Jose Diridon,106,1,,,1,1
Local Weekday,M157:20251231,M157:20251231,San Francisco,M157,0,,,1,1
Local Weekend,641:20251231,641:20251231,San Francisco,641,0,,,1,1
Local Weekend,638:20251231,638:20251231,San Jose Diridon,638,1,,,1,1
Limited,408:20251231,408:20251231,San Jose Diridon,408,1,,,1,1
South County,805:20251231,805:20251231,San Jose Diridon,805,0,,,1,1
Local Weekday,124:20251231,124:20251231,San Jose Diridon,124,1,,,1,1
Local Weekday,138:20251231,138:20251231,San Jose Diridon,138,1,,,1,1
Local Weekday,154:20251231,154:20251231,San Jose Diridon,154,1,,,1,1
Local Weekday,M153:20251231,M153:20251231,San Francisco,M153,0,,,1,1
Local Weekday,M134:20251231,M134:20251231,San Jose Diridon,M134,1,,,1,1
Local Weekday,M150:20251231,M150:20251231,San Jose Diridon,M150,1,,,1,1
Local Weekday,M172:20251231,M172:20251231,San Jose Diridon,M172,1,,,1,1
Local Weekday,M158:20251231,M158:20251231,San Jose Diridon,M158,1,,,1,1
Local Weekday,M164:20251231,M164:20251231,San Jose Diridon,M164,1,,,1,1
Local Weekday,141:20251231,141:20251231,San Francisco,141,0,,,1,1
Limited,428:20251231,428:20251231,San Jose Diridon,428,1,,,1,1
Local Weekday,144:20251231,144:20251231,San Jose Diridon,144,1,,,1,1
Local Weekday,168:20251231,168:20251231,San Jose Diridon,168,1,,,1,1
Local Weekday,109:20251231,109:20251231,San Francisco,109,0,,,1,1
Local Weekend,601:20251231,601:20251231,San Francisco,601,0,,,1,1
Local Weekend,650:20251231,650:20251231,San Jose Diridon,650,1,,,1,1
Local Weekday,M148:20251231,M148:20251231,San Jose Diridon,M148,1,,,1,1
Local Weekday,167:20251231,167:20251231,San Francisco,167,0,,,1,1
Local Weekend,623:20251231,623:20251231,San Francisco,623,0,,,1,1
Local Weekend,668:20251231,668:20251231,San Jose Diridon,668,1,,,1,1
Local Weekday,162:20251231,162:20251231,San Jose Diridon,162,1,,,1,1
Local Weekday,164:20251231,164:20251231,San Jose Diridon,164,1,,,1,1
Local Weekday,142:20251231,142:20251231,San Jose Diridon,142,1,,,1,1
Local Weekday,161:20251231,161:20251231,San Francisco,161,0,,,1,1
Local Weekend,636:20251231,636:20251231,San Jose Diridon,636,1,,,1,1
Express,515:20251231,515:20251231,San Francisco,515,0,,,1,1
Local Weekday,M114:20251231,M114:20251231,San Jose Diridon,M114,1,,,1,1
Local Weekday,151:20251231,151:20251231,San Francisco,151,0,,,1,1
Local Weekday,166:20251231,166:20251231,San Jose Diridon,166,1,,,1,1
Local Weekend,628:20251231,628:20251231,San Jose Diridon,628,1,,,1,1
Local Weekday,150:20251231,150:20251231,San Jose Diridon,150,1,,,1,1
Local Weekday,173:20251231,173:20251231,San Francisco,173,0,,,1,1
Local Weekday,103:20251231,103:20251231,San Francisco,103,0,,,1,1
Local Weekday,129:20251231,129:20251231,San Francisco,129,0,,,1,1
Local Weekend,611:20251231,611:20251231,San Francisco,611,0,,,1,1
Local Weekend,612:20251231,612:20251231,San Jose Diridon,612,1,,,1,1
Limited,417:20251231,417:20251231,San Francisco,417,0,,,1,1
Local Weekday,M120:20251231,M120:20251231,San Jose Diridon,M120,1,,,1,1
Local Weekday,M156:20251231,M156:20251231,San Jose Diridon,M156,1,,,1,1
Local Weekday,M117:20251231,M117:20251231,San Francisco,M117,0,,,1,1
Local Weekday,155:20251231,155:20251231,San Francisco,155,0,,,1,1
Local Weekend,634:20251231,634:20251231,San Jose Diridon,634,1,,,1,1
Limited,420:20251231,420:20251231,San Jose Diridon,420,1,,,1,1
Local Weekday,M118:20251231,M118:20251231,San Jose Diridon,M118,1,,,1,1
Local Weekday,M174:20251231,M174:20251231,San Jose Diridon,M174,1,,,1,1
Local Weekday,M135:20251231,M135:20251231,San Francisco,M135,0,,,1,1
Local Weekend,651:20251231,651:20251231,San Francisco,651,0,,,1,1
Local Weekday,118:20251231,118:20251231,San Jose Diridon,118,1,,,1,1
Local Weekday,M146:20251231,M146:20251231,San Jose Diridon,M146,1,,,1,1
Local Weekday,128:20251231,128:20251231,San Jose Diridon,128,1,,,1,1
Local Weekend,630:20251231,630:20251231,San Jose Diridon,630,1,,,1,1
Local Weekday,116:20251231,116:20251231,San Jose Diridon,116,1,,,1,1
Local Weekday,143:20251231,143:20251231,San Francisco,143,0,,,1,1
Local Weekend,608:20251231,608:20251231,San Jose Diridon,608,1,,,1,1
Express,502:20251231,502:20251231,San Jose Diridon,502,1,,,1,1
Local Weekday,136:20251231,136:20251231,San Jose Diridon,136,1,,,1,1
Local Weekday,M136:20251231,M136:20251231,San Jose Diridon,M136,1,,,1,1
Local Weekend,617:20251231,617:20251231,San Francisco,617,0,,,1,1
Local Weekend,654:20251231,654:20251231,San Jose Diridon,654,1,,,1,1
Local Weekday,M112:20251231,M112:20251231,San Jose Diridon,M112,1,,,1,1
Local Weekday,M129:20251231,M129:20251231,San Francisco,M129,0,,,1,1
Local Weekend,604:20251231,604:20251231,San Jose Diridon,604,1,,,1,1
Local Weekday,M104:20251231,M104:20251231,San Jose Diridon,M104,1,,,1,1
Local Weekday,M106:20251231,M106:20251231,San Jose Diridon,M106,1,,,1,1
Local Weekend,625:20251231,625:20251231,San Francisco,625,0,,,1,1
Local Weekend,620:20251231,620:20251231,San Jose Diridon,620,1,,,1,1
Local Weekday,M171:20251231,M171:20251231,San Francisco,M171,0,,,1,1
Local Weekday,149:20251231,149:20251231,San Francisco,149,0,,,1,1
Local Weekday,M124:20251231,M124:20251231,San Jose Diridon,M124,1,,,1,1
Local Weekday,M125:20251231,M125:20251231,San Francisco,M125,0,,,1,1
Limited,412:20251231,412:20251231,San Jose Diridon,412,1,,,1,1
Local Weekday,113:20251231,113:20251231,San Francisco,113,0,,,1,1
Local Weekday,115:20251231,115:20251231,San Francisco,115,0,,,1,1
Local Weekday,M121:20251231,M121:20251231,San Francisco,M121,0,,,1,1
Limited,405:20251231,405:20251231,San Francisco,405,0,,,1,1
Limited,424:20251231,424:20251231,San Jose Diridon,424,1,,,1,1
Local Weekday,M168:20251231,M168:20251231,San Jose Diridon,M168,1,,,1,1
Local Weekday,169:20251231,169:20251231,San Francisco,169,0,,,1,1
Local Weekend,658:20251231,658:20251231,San Jose Diridon,658,1,,,1,1
Local Weekend,660:20251231,660:20251231,San Jose Diridon,660,1,,,1,1
Express,518:20251231,518:20251231,San Jose Diridon,518,1,,,1,1
South County,848:20251231,848:20251231,Gilroy,848,1,,,1,1
Local Weekday,M151:20251231,M151:20251231,San Francisco,M151,0,,,1,1
Express,514:20251231,514:20251231,San Jose Diridon,514,1,,,1,1
Local Weekday,120:20251231,120:20251231,San Jose Diridon,120,1,,,1,1
Local Weekday,146:20251231,146:20251231,San Jose Diridon,146,1,,,1,1
Local Weekday,M166:20251231,M166:20251231,San Jose Diridon,M166,1,,,1,1
Local Weekday,M147:20251231,M147:20251231,San Francisco,M147,0,,,1,1
Local Weekend,631:20251231,631:20251231,San Francisco,631,0,,,1,1
Local Weekday,M119:20251231,M119:20251231,San Francisco,M119,0,,,1,1
Local Weekend,661:20251231,661:20251231,San Francisco,661,0,,,1,1
Local Weekend,616:20251231,616:20251231,San Jose Diridon,616,1,,,1,1
Limited,425:20251231,425:20251231,San Francisco,425,0,,,1,1
Local Weekday,130:20251231,130:20251231,San Jose Diridon,130,1,,,1,1
Local Weekend,605:20251231,605:20251231,San Francisco,605,0,,,1,1
Local Weekend,659:20251231,659:20251231,San Francisco,659,0,,,1,1
Local Weekday,152:20251231,152:20251231,San Jose Diridon,152,1,,,1,1
Express,503:20251231,503:20251231,San Francisco,503,0,,,1,1
Express,527:20251231,527:20251231,San Francisco,527,0,,,1,1
South County,822:20251231,822:20251231,Gilroy,822,1,,,1,1
Local Weekday,M144:20251231,M144:20251231,San Jose Diridon,M144,1,,,1,1
Local Weekend,626:20251231,626:20251231,San Jose Diridon,626,1,,,1,1
Local Weekend,642:20251231,642:20251231,San Jose Diridon,642,1,,,1,1
Local Weekday,M140:20251231,M140:20251231,San Jose Diridon,M140,1,,,1,1
Local Weekday,M176:20251231,M176:20251231,San Jose Diridon,M176,1,,,1,1
Express,519:20251231,519:20251231,San Francisco,519,0,,,1,1
Local Weekday,125:20251231,125:20251231,San Francisco,125,0,,,1,1
Local Weekday,135:20251231,135:20251231,San Francisco,135,0,,,1,1
Local Weekday,165:20251231,165:20251231,San Francisco,165,0,,,1,1
Local Weekend,640:20251231,640:20251231,San Jose Diridon,640,1,,,1,1
Local Weekday,M132:20251231,M132:20251231,San Jose Diridon,M132,1,,,1,1
Local Weekday,M143:20251231,M143:20251231,San Francisco,M143,0,,,1,1
Local Weekday,147:20251231,147:20251231,San Francisco,147,0,,,1,1
Local Weekday,104:20251231,104:20251231,San Jose Diridon,104,1,,,1,1
Local Weekend,615:20251231,615:20251231,San Francisco,615,0,,,1,1
Local Weekend,639:20251231,639:20251231,San Francisco,639,0,,,1,1
Local Weekend,618:20251231,618:20251231,San Jose Diridon,618,1,,,1,1
Local Weekday,M154:20251231,M154:20251231,San Jose Diridon,M154,1,,,1,1
Local Weekday,M131:20251231,M131:20251231,San Francisco,M131,0,,,1,1
Local Weekend,649:20251231,649:20251231,San Francisco,649,0,,,1,1
Express,522:20251231,522:20251231,San Jose Diridon,522,1,,,1,1
South County,809:20251231,809:20251231,San Jose Diridon,809,0,,,1,1
Local Weekday,114:20251231,114:20251231,San Jose Diridon,114,1,,,1,1
Local Weekday,117:20251231,117:20251231,San Francisco,117,0,,,1,1
Local Weekday,123:20251231,123:20251231,San Francisco,123,0,,,1,1
Local Weekday,M155:20251231,M155:20251231,San Francisco,M155,0,,,1,1
Local Weekend,637:20251231,637:20251231,San Francisco,637,0,,,1,1
Local Weekday,107:20251231,107:20251231,San Francisco,107,0,,,1,1
Local Weekday,171:20251231,171:20251231,San Francisco,171,0,,,1,1
Local Weekday,M159:20251231,M159:20251231,San Francisco,M159,0,,,1,1
Local Weekend,663:20251231,663:20251231,San Francisco,663,0,,,1,1
Local Weekend,664:20251231,664:20251231,San Jose Diridon,664,1,,,1,1
Local Weekday,M109:20251231,M109:20251231,San Francisco,M109,0,,,1,1
Local Weekday,148:20251231,148:20251231,San Jose Diridon,148,1,,,1,1
Local Weekday,101:20251231,101:20251231,San Francisco,101,0,,,1,1
Local Weekend,606:20251231,606:20251231,San Jose Diridon,606,1,,,1,1
Local Weekday,M102:20251231,M102:20251231,San Jose Diridon,M102,1,,,1,1
Local Weekday,M145:20251231,M145:20251231,San Francisco,M145,0,,,1,1
South County,820:20251231,820:20251231,Gilroy,820,1,,,1,1
Limited,421:20251231,421:20251231,San Francisco,421,0,,,1,1
Local Weekday,137:20251231,137:20251231,San Francisco,137,0,,,1,1
Local Weekday,M173:20251231,M173:20251231,San Francisco,M173,0,,,1,1
Limited,413:20251231,413:20251231,San Francisco,413,0,,,1,1
Local Weekday,M138:20251231,M138:20251231,San Jose Diridon,M138,1,,,1,1
Local Weekday,121:20251231,121:20251231,San Francisco,121,0,,,1,1
Local Weekend,627:20251231,627:20251231,San Francisco,627,0,,,1,1
Local Weekend,610:20251231,610:20251231,San Jose Diridon,610,1,,,1,1
Local Weekend,614:20251231,614:20251231,San Jose Diridon,614,1,,,1,1
South County,814:20251231,814:20251231,Gilroy,814,1,,,1,1
Local Weekday,M113:20251231,M113:20251231,San Francisco,M113,0,,,1,1
Local Weekday,M133:20251231,M133:20251231,San Francisco,M133,0,,,1,1
Local Weekend,613:20251231,613:20251231,San Francisco,613,0,,,1,1
Local Weekday,102:20251231,102:20251231,San Jose Diridon,102,1,,,1,1
Local Weekday,M108:20251231,M108:20251231,San Jose Diridon,M108,1,,,1,1
Limited,429:20251231,429:20251231,San Francisco,429,0,,,1,1
Local Weekday,M128:20251231,M128:20251231,San Jose Diridon,M128,1,,,1,1
Local Weekday,158:20251231,158:20251231,San Jose Diridon,158,1,,,1,1
Local Weekday,111:20251231,111:20251231,San Francisco,111,0,,,1,1
Local Weekday,157:20251231,157:20251231,San Francisco,157,0,,,1,1
Local Weekend,647:20251231,647:20251231,San Francisco,647,0,,,1,1
Local Weekend,646:20251231,646:20251231,San Jose Diridon,646,1,,,1,1
Express,510:20251231,510:20251231,San Jose Diridon,510,1,,,1,1
Express,507:20251231,507:20251231,San Francisco,507,0,,,1,1
Limited,404:20251231,404:20251231,San Jose Diridon,404,1,,,1,1
South County,816:20251231,816:20251231,Gilroy,816,1,,,1,1
Local Weekday,M116:20251231,M116:20251231,San Jose Diridon,M116,1,,,1,1
Local Weekday,156:20251231,156:20251231,San Jose Diridon,156,1,,,1,1
South County,819:20251231,819:20251231,San Jose Diridon,819,0,,,1,1
Local Weekday,M137:20251231,M137:20251231,San Francisco,M137,0,,,1,1
Local Weekday,M165:20251231,M165:20251231,San Francisco,M165,0,,,1,1
Limited,416:20251231,416:20251231,San Jose Diridon,416,1,,,1,1
South County,825:20251231,825:20251231,San Jose Diridon,825,0,,,1,1
Local Weekday,M127:20251231,M127:20251231,San Francisco,M127,0,,,1,1
Local Weekday,139:20251231,139:20251231,San Francisco,139,0,,,1,1
Local Weekday,M163:20251231,M163:20251231,San Francisco,M163,0,,,1,1
South County,807:20251231,807:20251231,San Jose Diridon,807,0,,,1,1
Local Weekend,665:20251231,665:20251231,San Francisco,665,0,,,1,1
Express,506:20251231,506:20251231,San Jose Diridon,506,1,,,1,1
Local Weekday,174:20251231,174:20251231,San Jose Diridon,174,1,,,1,1
Local Weekday,M115:20251231,M115:20251231,San Francisco,M115,0,,,1,1
Local Weekday,145:20251231,145:20251231,San Francisco,145,0,,,1,1
Local Weekday,159:20251231,159:20251231,San Francisco,159,0,,,1,1
Local Weekend,635:20251231,635:20251231,San Francisco,635,0,,,1,1
Local Weekday,110:20251231,110:20251231,San Jose Diridon,110,1,,,1,1
Local Weekday,M103:20251231,M103:20251231,San Francisco,M103,0,,,1,1
Local Weekend,652:20251231,652:20251231,San Jose Diridon,652,1,,,1,1
Local Weekday,133:20251231,133:20251231,San Francisco,133,0,,,1,1
Local Weekday,M161:20251231,M161:20251231,San Francisco,M161,0,,,1,1
Local Weekend,619:20251231,619:20251231,San Francisco,619,0,,,1,1
Local Weekend,645:20251231,645:20251231,San Francisco,645,0,,,1,1
South County,811:20251231,811:20251231,San Jose Diridon,811,0,,,1,1
Local Weekend,602:20251231,602:20251231,San Jose Diridon,602,1,,,1,1
Limited,409:20251231,409:20251231,San Francisco,409,0,,,1,1
Local Weekday,140:20251231,140:20251231,San Jose Diridon,140,1,,,1,1
Local Weekday,119:20251231,119:20251231,San Francisco,119,0,,,1,1
Local Weekday,M169:20251231,M169:20251231,San Francisco,M169,0,,,1,1
Local Weekend,603:20251231,603:20251231,San Francisco,603,0,,,1,1
Local Weekend,653:20251231,653:20251231,San Francisco,653,0,,,1,1
Local Weekday,108:20251231,108:20251231,San Jose Diridon,108,1,,,1,1
Local Weekday,122:20251231,122:20251231,San Jose Diridon,122,1,,,1,1
Local Weekday,132:20251231,132:20251231,San Jose Diridon,132,1,,,1,1
Local Weekday,M162:20251231,M162:20251231,San Jose Diridon,M162,1,,,1,1
Local Weekend,643:20251231,643:20251231,San Francisco,643,0,,,1,1
Local Weekday,153:20251231,153:20251231,San Francisco,153,0,,,1,1
Local Weekend,624:20251231,624:20251231,San Jose Diridon,624,1,,,1,1
Local Weekday,126:20251231,126:20251231,San Jose Diridon,126,1,,,1,1
Local Weekday,M152:20251231,M152:20251231,San Jose Diridon,M152,1,,,1,1
Local Weekday,M160:20251231,M160:20251231,San Jose Diridon,M160,1,,,1,1
Local Weekday,131:20251231,131:20251231,San Francisco,131,0,,,1,1
Local Weekend,622:20251231,622:20251231,San Jose Diridon,622,1,,,1,1
Local Weekday,163:20251231,163:20251231,San Francisco,163,0,,,1,1
Local Weekday,160:20251231,160:20251231,San Jose Diridon,160,1,,,1,1
Local Weekday,M139:20251231,M139:20251231,San Francisco,M139,0,,,1,1
Local Weekday,M130:20251231,M130:20251231,San Jose Diridon,M130,1,,,1,1
Local Weekday,170:20251231,170:20251231,San Jose Diridon,170,1,,,1,1
Local Weekday,127:20251231,127:20251231,San Francisco,127,0,,,1,1
Local Weekday,M149:20251231,M149:20251231,San Francisco,M149,0,,,1,1
Limited,401:20251231,401:20251231,San Francisco,401,0,,,1,1
Local Weekday,M110:20251231,M110:20251231,San Jose Diridon,M110,1,,,1,1
Local Weekday,M170:20251231,M170:20251231,San Jose Diridon,M170,1,,,1,1
Local Weekend,644:20251231,644:20251231,San Jose Diridon,644,1,,,1,1
