service_id,date,exception_type
138:20250930,20250930,1
657:20250930,20250930,2
663:20250930,20250930,2
511:20250930,20250930,1
117:20250930,20250930,1
503:20250930,20250930,1
416:20250930,20250930,1
519:20250930,20250930,1
150:20250930,20250930,1
146:20250930,20250930,1
121:20250930,20250930,1
420:20250930,20250930,1
623:20250930,20250930,2
805:20250930,20250930,1
655:20250930,20250930,2
169:20250930,20250930,1
632:20250930,20250930,2
651:20250930,20250930,2
118:20250930,20250930,1
172:20250930,20250930,1
110:20250930,20250930,1
661:20250930,20250930,2
151:20250930,20250930,1
640:20250930,20250930,2
636:20250930,20250930,2
515:20250930,20250930,1
161:20250930,20250930,1
113:20250930,20250930,1
127:20250930,20250930,1
120:20250930,20250930,1
114:20250930,20250930,1
159:20250930,20250930,1
643:20250930,20250930,2
622:20250930,20250930,2
155:20250930,20250930,1
170:20250930,20250930,1
163:20250930,20250930,1
132:20250930,20250930,1
807:20250930,20250930,1
518:20250930,20250930,1
645:20250930,20250930,2
116:20250930,20250930,1
134:20250930,20250930,1
664:20250930,20250930,2
628:20250930,20250930,2
648:20250930,20250930,2
646:20250930,20250930,2
820:20250930,20250930,1
603:20250930,20250930,2
668:20250930,20250930,2
658:20250930,20250930,2
619:20250930,20250930,2
173:20250930,20250930,1
148:20250930,20250930,1
131:20250930,20250930,1
107:20250930,20250930,1
404:20250930,20250930,1
613:20250930,20250930,2
108:20250930,20250930,1
166:20250930,20250930,1
662:20250930,20250930,2
629:20250930,20250930,2
144:20250930,20250930,1
158:20250930,20250930,1
425:20250930,20250930,1
634:20250930,20250930,2
822:20250930,20250930,1
510:20250930,20250930,1
143:20250930,20250930,1
409:20250930,20250930,1
102:20250930,20250930,1
633:20250930,20250930,2
162:20250930,20250930,1
122:20250930,20250930,1
164:20250930,20250930,1
610:20250930,20250930,2
602:20250930,20250930,2
130:20250930,20250930,1
638:20250930,20250930,2
156:20250930,20250930,1
635:20250930,20250930,2
171:20250930,20250930,1
506:20250930,20250930,1
125:20250930,20250930,1
136:20250930,20250930,1
814:20250930,20250930,1
659:20250930,20250930,2
101:20250930,20250930,1
141:20250930,20250930,1
142:20250930,20250930,1
654:20250930,20250930,2
644:20250930,20250930,2
123:20250930,20250930,1
502:20250930,20250930,1
147:20250930,20250930,1
174:20250930,20250930,1
176:20250930,20250930,1
152:20250930,20250930,1
165:20250930,20250930,1
135:20250930,20250930,1
167:20250930,20250930,1
160:20250930,20250930,1
650:20250930,20250930,2
607:20250930,20250930,2
112:20250930,20250930,1
429:20250930,20250930,1
408:20250930,20250930,1
630:20250930,20250930,2
119:20250930,20250930,1
417:20250930,20250930,1
140:20250930,20250930,1
641:20250930,20250930,2
405:20250930,20250930,1
128:20250930,20250930,1
656:20250930,20250930,2
604:20250930,20250930,2
133:20250930,20250930,1
109:20250930,20250930,1
649:20250930,20250930,2
614:20250930,20250930,2
612:20250930,20250930,2
507:20250930,20250930,1
609:20250930,20250930,2
527:20250930,20250930,1
816:20250930,20250930,1
115:20250930,20250930,1
526:20250930,20250930,1
611:20250930,20250930,2
514:20250930,20250930,1
153:20250930,20250930,1
639:20250930,20250930,2
126:20250930,20250930,1
665:20250930,20250930,2
111:20250930,20250930,1
428:20250930,20250930,1
522:20250930,20250930,1
129:20250930,20250930,1
811:20250930,20250930,1
627:20250930,20250930,2
621:20250930,20250930,2
809:20250930,20250930,1
660:20250930,20250930,2
626:20250930,20250930,2
608:20250930,20250930,2
637:20250930,20250930,2
103:20250930,20250930,1
624:20250930,20250930,2
413:20250930,20250930,1
412:20250930,20250930,1
154:20250930,20250930,1
606:20250930,20250930,2
168:20250930,20250930,1
625:20250930,20250930,2
137:20250930,20250930,1
618:20250930,20250930,2
401:20250930,20250930,1
157:20250930,20250930,1
647:20250930,20250930,2
139:20250930,20250930,1
149:20250930,20250930,1
601:20250930,20250930,2
421:20250930,20250930,1
104:20250930,20250930,1
605:20250930,20250930,2
616:20250930,20250930,2
631:20250930,20250930,2
106:20250930,20250930,1
105:20250930,20250930,1
620:20250930,20250930,2
145:20250930,20250930,1
523:20250930,20250930,1
424:20250930,20250930,1
617:20250930,20250930,2
124:20250930,20250930,1
652:20250930,20250930,2
653:20250930,20250930,2
615:20250930,20250930,2
642:20250930,20250930,2
640:20250930,20250929,2
166:20250930,20250929,1
121:20250930,20250929,1
128:20250930,20250929,1
660:20250930,20250929,2
117:20250930,20250929,1
110:20250930,20250929,1
132:20250930,20250929,1
168:20250930,20250929,1
662:20250930,20250929,2
170:20250930,20250929,1
617:20250930,20250929,2
103:20250930,20250929,1
621:20250930,20250929,2
805:20250930,20250929,1
510:20250930,20250929,1
115:20250930,20250929,1
807:20250930,20250929,1
655:20250930,20250929,2
111:20250930,20250929,1
639:20250930,20250929,2
413:20250930,20250929,1
822:20250930,20250929,1
627:20250930,20250929,2
424:20250930,20250929,1
155:20250930,20250929,1
634:20250930,20250929,2
126:20250930,20250929,1
130:20250930,20250929,1
148:20250930,20250929,1
420:20250930,20250929,1
162:20250930,20250929,1
146:20250930,20250929,1
608:20250930,20250929,2
611:20250930,20250929,2
176:20250930,20250929,1
101:20250930,20250929,1
649:20250930,20250929,2
518:20250930,20250929,1
606:20250930,20250929,2
635:20250930,20250929,2
408:20250930,20250929,1
656:20250930,20250929,2
134:20250930,20250929,1
602:20250930,20250929,2
105:20250930,20250929,1
157:20250930,20250929,1
630:20250930,20250929,2
668:20250930,20250929,2
659:20250930,20250929,2
425:20250930,20250929,1
409:20250930,20250929,1
158:20250930,20250929,1
124:20250930,20250929,1
601:20250930,20250929,2
140:20250930,20250929,1
665:20250930,20250929,2
120:20250930,20250929,1
814:20250930,20250929,1
112:20250930,20250929,1
428:20250930,20250929,1
607:20250930,20250929,2
623:20250930,20250929,2
526:20250930,20250929,1
401:20250930,20250929,1
809:20250930,20250929,1
150:20250930,20250929,1
151:20250930,20250929,1
653:20250930,20250929,2
137:20250930,20250929,1
614:20250930,20250929,2
636:20250930,20250929,2
609:20250930,20250929,2
503:20250930,20250929,1
174:20250930,20250929,1
605:20250930,20250929,2
820:20250930,20250929,1
638:20250930,20250929,2
626:20250930,20250929,2
119:20250930,20250929,1
645:20250930,20250929,2
144:20250930,20250929,1
163:20250930,20250929,1
109:20250930,20250929,1
632:20250930,20250929,2
154:20250930,20250929,1
610:20250930,20250929,2
519:20250930,20250929,1
637:20250930,20250929,2
648:20250930,20250929,2
106:20250930,20250929,1
429:20250930,20250929,1
619:20250930,20250929,2
404:20250930,20250929,1
650:20250930,20250929,2
811:20250930,20250929,1
135:20250930,20250929,1
159:20250930,20250929,1
412:20250930,20250929,1
664:20250930,20250929,2
141:20250930,20250929,1
641:20250930,20250929,2
511:20250930,20250929,1
138:20250930,20250929,1
654:20250930,20250929,2
161:20250930,20250929,1
122:20250930,20250929,1
169:20250930,20250929,1
123:20250930,20250929,1
631:20250930,20250929,2
405:20250930,20250929,1
136:20250930,20250929,1
107:20250930,20250929,1
129:20250930,20250929,1
618:20250930,20250929,2
523:20250930,20250929,1
657:20250930,20250929,2
643:20250930,20250929,2
652:20250930,20250929,2
612:20250930,20250929,2
522:20250930,20250929,1
629:20250930,20250929,2
616:20250930,20250929,2
661:20250930,20250929,2
165:20250930,20250929,1
633:20250930,20250929,2
102:20250930,20250929,1
104:20250930,20250929,1
113:20250930,20250929,1
620:20250930,20250929,2
172:20250930,20250929,1
108:20250930,20250929,1
114:20250930,20250929,1
613:20250930,20250929,2
625:20250930,20250929,2
644:20250930,20250929,2
156:20250930,20250929,1
615:20250930,20250929,2
131:20250930,20250929,1
663:20250930,20250929,2
658:20250930,20250929,2
646:20250930,20250929,2
628:20250930,20250929,2
506:20250930,20250929,1
152:20250930,20250929,1
160:20250930,20250929,1
127:20250930,20250929,1
515:20250930,20250929,1
153:20250930,20250929,1
514:20250930,20250929,1
149:20250930,20250929,1
651:20250930,20250929,2
604:20250930,20250929,2
642:20250930,20250929,2
502:20250930,20250929,1
118:20250930,20250929,1
116:20250930,20250929,1
147:20250930,20250929,1
507:20250930,20250929,1
167:20250930,20250929,1
527:20250930,20250929,1
417:20250930,20250929,1
173:20250930,20250929,1
