route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,149:20250930,149:20250930,San Francisco,149,0,,,1,1
Local Weekend,608:20250930,608:20250930,San Jose Diridon,608,1,,,1,1
Limited,405:20250930,405:20250930,San Francisco,405,0,,,1,1
Local Weekend,610:20250930,610:20250930,San Jose Diridon,610,1,,,1,1
Local Weekday,109:20250930,109:20250930,San Francisco,109,0,,,1,1
Local Weekend,637:20250930,637:20250930,San Francisco,637,0,,,1,1
Local Weekday,148:20250930,148:20250930,San Jose Diridon,148,1,,,1,1
Local Weekday,155:20250930,155:20250930,San Francisco,155,0,,,1,1
Local Weekend,606:20250930,606:20250930,San Jose Diridon,606,1,,,1,1
Express,526:20250930,526:20250930,San Jose Diridon,526,1,,,1,1
Local Weekend,616:20250930,616:20250930,San Jose Diridon,616,1,,,1,1
Local Weekend,623:20250930,623:20250930,San Francisco,623,0,,,1,1
Local Weekend,655:20250930,655:20250930,San Francisco,655,0,,,1,1
Local Weekday,172:20250930,172:20250930,San Jose Diridon,172,1,,,1,1
Local Weekend,622:20250930,622:20250930,San Jose Diridon,622,1,,,1,1
Local Weekend,624:20250930,624:20250930,San Jose Diridon,624,1,,,1,1
Local Weekend,662:20250930,662:20250930,San Jose Diridon,662,1,,,1,1
Local Weekend,629:20250930,629:20250930,San Francisco,629,0,,,1,1
Local Weekend,639:20250930,639:20250930,San Francisco,639,0,,,1,1
Limited,416:20250930,416:20250930,San Jose Diridon,416,1,,,1,1
Limited,420:20250930,420:20250930,San Jose Diridon,420,1,,,1,1
Local Weekday,114:20250930,114:20250930,San Jose Diridon,114,1,,,1,1
Local Weekday,120:20250930,120:20250930,San Jose Diridon,120,1,,,1,1
Express,514:20250930,514:20250930,San Jose Diridon,514,1,,,1,1
Express,515:20250930,515:20250930,San Francisco,515,0,,,1,1
Limited,417:20250930,417:20250930,San Francisco,417,0,,,1,1
Local Weekend,644:20250930,644:20250930,San Jose Diridon,644,1,,,1,1
Limited,409:20250930,409:20250930,San Francisco,409,0,,,1,1
Local Weekday,168:20250930,168:20250930,San Jose Diridon,168,1,,,1,1
Local Weekday,112:20250930,112:20250930,San Jose Diridon,112,1,,,1,1
Local Weekend,638:20250930,638:20250930,San Jose Diridon,638,1,,,1,1
Local Weekend,609:20250930,609:20250930,San Francisco,609,0,,,1,1
Local Weekend,625:20250930,625:20250930,San Francisco,625,0,,,1,1
Express,518:20250930,518:20250930,San Jose Diridon,518,1,,,1,1
Local Weekday,108:20250930,108:20250930,Tamien,108,1,,,1,1
Local Weekend,602:20250930,602:20250930,San Jose Diridon,602,1,,,1,1
Local Weekend,601:20250930,601:20250930,San Francisco,601,0,,,1,1
Local Weekend,664:20250930,664:20250930,San Jose Diridon,664,1,,,1,1
Express,522:20250930,522:20250930,San Jose Diridon,522,1,,,1,1
Local Weekday,103:20250930,103:20250930,San Francisco,103,0,,,1,1
Local Weekend,613:20250930,613:20250930,San Francisco,613,0,,,1,1
Local Weekend,643:20250930,643:20250930,San Francisco,643,0,,,1,1
Local Weekend,657:20250930,657:20250930,San Francisco,657,0,,,1,1
Local Weekend,660:20250930,660:20250930,San Jose Diridon,660,1,,,1,1
Local Weekend,621:20250930,621:20250930,San Francisco,621,0,,,1,1
Local Weekday,113:20250930,113:20250930,San Francisco,113,0,,,1,1
Local Weekend,632:20250930,632:20250930,San Jose Diridon,632,1,,,1,1
Local Weekend,636:20250930,636:20250930,San Jose Diridon,636,1,,,1,1
Local Weekday,139:20250930,139:20250930,San Francisco,139,0,,,1,1
South County,809:20250930,809:20250930,San Jose Diridon,809,0,,,1,1
Local Weekend,633:20250930,633:20250930,San Francisco,633,0,,,1,1
Local Weekday,151:20250930,151:20250930,San Francisco,151,0,,,1,1
Local Weekend,626:20250930,626:20250930,San Jose Diridon,626,1,,,1,1
Local Weekend,620:20250930,620:20250930,San Jose Diridon,620,1,,,1,1
Local Weekend,646:20250930,646:20250930,San Jose Diridon,646,1,,,1,1
