service_id,date,exception_type
809:20260630,20260630,1
412:20260630,20260630,1
848:20260630,20260630,2
138:20260630,20260630,1
631:20260630,20260630,2
104:20260630,20260630,1
605:20260630,20260630,2
M150:20260630,20260630,2
167:20260630,20260630,1
176:20260630,20260630,1
416:20260630,20260630,1
643:20260630,20260630,2
527:20260630,20260630,1
526:20260630,20260630,1
142:20260630,20260630,1
659:20260630,20260630,2
M173:20260630,20260630,2
640:20260630,20260630,2
M139:20260630,20260630,2
607:20260630,20260630,2
660:20260630,20260630,2
M161:20260630,20260630,2
822:20260630,20260630,1
424:20260630,20260630,1
658:20260630,20260630,2
518:20260630,20260630,1
159:20260630,20260630,1
117:20260630,20260630,1
134:20260630,20260630,1
M111:20260630,20260630,2
M107:20260630,20260630,2
420:20260630,20260630,1
M112:20260630,20260630,2
102:20260630,20260630,1
M145:20260630,20260630,2
M138:20260630,20260630,2
M165:20260630,20260630,2
M134:20260630,20260630,2
152:20260630,20260630,1
M125:20260630,20260630,2
M105:20260630,20260630,2
166:20260630,20260630,1
109:20260630,20260630,1
514:20260630,20260630,1
132:20260630,20260630,1
805:20260630,20260630,1
630:20260630,20260630,2
114:20260630,20260630,1
M154:20260630,20260630,2
656:20260630,20260630,2
905:20260630,20260630,2
638:20260630,20260630,2
143:20260630,20260630,1
609:20260630,20260630,2
816:20260630,20260630,1
107:20260630,20260630,1
503:20260630,20260630,1
401:20260630,20260630,1
646:20260630,20260630,2
M109:20260630,20260630,2
155:20260630,20260630,1
664:20260630,20260630,2
M120:20260630,20260630,2
645:20260630,20260630,2
164:20260630,20260630,1
639:20260630,20260630,2
617:20260630,20260630,2
M141:20260630,20260630,2
M163:20260630,20260630,2
137:20260630,20260630,1
M137:20260630,20260630,2
649:20260630,20260630,2
120:20260630,20260630,1
613:20260630,20260630,2
163:20260630,20260630,1
112:20260630,20260630,1
601:20260630,20260630,2
157:20260630,20260630,1
506:20260630,20260630,1
652:20260630,20260630,2
M153:20260630,20260630,2
515:20260630,20260630,1
123:20260630,20260630,1
653:20260630,20260630,2
M156:20260630,20260630,2
405:20260630,20260630,1
119:20260630,20260630,1
M169:20260630,20260630,2
M148:20260630,20260630,2
160:20260630,20260630,1
M140:20260630,20260630,2
133:20260630,20260630,1
626:20260630,20260630,2
M129:20260630,20260630,2
M131:20260630,20260630,2
124:20260630,20260630,1
409:20260630,20260630,1
M135:20260630,20260630,2
M118:20260630,20260630,2
115:20260630,20260630,1
M136:20260630,20260630,2
154:20260630,20260630,1
156:20260630,20260630,1
103:20260630,20260630,1
M127:20260630,20260630,2
121:20260630,20260630,1
519:20260630,20260630,1
139:20260630,20260630,1
M103:20260630,20260630,2
644:20260630,20260630,2
M171:20260630,20260630,2
642:20260630,20260630,2
663:20260630,20260630,2
819:20260630,20260630,2
M152:20260630,20260630,2
101:20260630,20260630,1
610:20260630,20260630,2
641:20260630,20260630,2
M130:20260630,20260630,2
M132:20260630,20260630,2
M158:20260630,20260630,2
651:20260630,20260630,2
622:20260630,20260630,2
174:20260630,20260630,1
615:20260630,20260630,2
M143:20260630,20260630,2
502:20260630,20260630,1
620:20260630,20260630,2
116:20260630,20260630,1
665:20260630,20260630,2
417:20260630,20260630,1
M104:20260630,20260630,2
M151:20260630,20260630,2
M106:20260630,20260630,2
655:20260630,20260630,2
608:20260630,20260630,2
629:20260630,20260630,2
165:20260630,20260630,1
M155:20260630,20260630,2
173:20260630,20260630,1
M144:20260630,20260630,2
628:20260630,20260630,2
M162:20260630,20260630,2
M113:20260630,20260630,2
M122:20260630,20260630,2
136:20260630,20260630,1
M123:20260630,20260630,2
M119:20260630,20260630,2
161:20260630,20260630,1
146:20260630,20260630,1
611:20260630,20260630,2
820:20260630,20260630,1
125:20260630,20260630,1
118:20260630,20260630,1
110:20260630,20260630,1
M168:20260630,20260630,2
618:20260630,20260630,2
661:20260630,20260630,2
625:20260630,20260630,2
428:20260630,20260630,1
127:20260630,20260630,1
M149:20260630,20260630,2
M142:20260630,20260630,2
606:20260630,20260630,2
M146:20260630,20260630,2
623:20260630,20260630,2
M157:20260630,20260630,2
522:20260630,20260630,1
M160:20260630,20260630,2
M176:20260630,20260630,2
150:20260630,20260630,1
M110:20260630,20260630,2
153:20260630,20260630,1
M147:20260630,20260630,2
M164:20260630,20260630,2
814:20260630,20260630,1
602:20260630,20260630,2
624:20260630,20260630,2
140:20260630,20260630,1
413:20260630,20260630,1
144:20260630,20260630,1
170:20260630,20260630,1
169:20260630,20260630,1
129:20260630,20260630,1
632:20260630,20260630,2
612:20260630,20260630,2
604:20260630,20260630,2
648:20260630,20260630,2
811:20260630,20260630,1
507:20260630,20260630,1
635:20260630,20260630,2
429:20260630,20260630,1
113:20260630,20260630,1
M167:20260630,20260630,2
105:20260630,20260630,1
151:20260630,20260630,1
130:20260630,20260630,1
634:20260630,20260630,2
M101:20260630,20260630,2
647:20260630,20260630,2
158:20260630,20260630,1
637:20260630,20260630,2
619:20260630,20260630,2
126:20260630,20260630,1
135:20260630,20260630,1
111:20260630,20260630,1
147:20260630,20260630,1
668:20260630,20260630,2
M114:20260630,20260630,2
141:20260630,20260630,1
122:20260630,20260630,1
510:20260630,20260630,1
M115:20260630,20260630,2
M172:20260630,20260630,2
M124:20260630,20260630,2
523:20260630,20260630,1
M126:20260630,20260630,2
M170:20260630,20260630,2
M128:20260630,20260630,2
106:20260630,20260630,1
807:20260630,20260630,1
404:20260630,20260630,1
636:20260630,20260630,2
421:20260630,20260630,1
M102:20260630,20260630,2
M116:20260630,20260630,2
650:20260630,20260630,2
603:20260630,20260630,2
901:20260630,20260630,2
131:20260630,20260630,1
657:20260630,20260630,2
M159:20260630,20260630,2
662:20260630,20260630,2
M108:20260630,20260630,2
M166:20260630,20260630,2
840:20260630,20260630,2
511:20260630,20260630,1
128:20260630,20260630,1
M117:20260630,20260630,2
614:20260630,20260630,2
627:20260630,20260630,2
633:20260630,20260630,2
108:20260630,20260630,1
M174:20260630,20260630,2
425:20260630,20260630,1
408:20260630,20260630,1
168:20260630,20260630,1
903:20260630,20260630,2
148:20260630,20260630,1
825:20260630,20260630,2
621:20260630,20260630,2
654:20260630,20260630,2
145:20260630,20260630,1
616:20260630,20260630,2
172:20260630,20260630,1
162:20260630,20260630,1
171:20260630,20260630,1
149:20260630,20260630,1
M133:20260630,20260630,2
M121:20260630,20260630,2
901:20260630,20260628,2
M123:20260630,20260628,2
M122:20260630,20260628,2
420:20260630,20260628,2
143:20260630,20260628,2
M138:20260630,20260628,2
M106:20260630,20260628,2
M162:20260630,20260628,2
M141:20260630,20260628,2
903:20260630,20260628,2
139:20260630,20260628,2
M168:20260630,20260628,2
113:20260630,20260628,2
136:20260630,20260628,2
M104:20260630,20260628,2
625:20260630,20260628,1
620:20260630,20260628,1
401:20260630,20260628,2
M139:20260630,20260628,2
129:20260630,20260628,2
816:20260630,20260628,2
147:20260630,20260628,2
629:20260630,20260628,1
408:20260630,20260628,2
146:20260630,20260628,2
661:20260630,20260628,1
622:20260630,20260628,1
M153:20260630,20260628,2
M105:20260630,20260628,2
M131:20260630,20260628,2
M110:20260630,20260628,2
526:20260630,20260628,2
822:20260630,20260628,2
M120:20260630,20260628,2
603:20260630,20260628,1
123:20260630,20260628,2
M173:20260630,20260628,2
172:20260630,20260628,2
M108:20260630,20260628,2
M107:20260630,20260628,2
609:20260630,20260628,1
M112:20260630,20260628,2
150:20260630,20260628,2
M124:20260630,20260628,2
652:20260630,20260628,1
M117:20260630,20260628,2
158:20260630,20260628,2
619:20260630,20260628,1
507:20260630,20260628,2
610:20260630,20260628,1
848:20260630,20260628,2
636:20260630,20260628,1
631:20260630,20260628,1
M132:20260630,20260628,2
606:20260630,20260628,1
125:20260630,20260628,2
506:20260630,20260628,2
M113:20260630,20260628,2
601:20260630,20260628,1
M156:20260630,20260628,2
M169:20260630,20260628,2
119:20260630,20260628,2
624:20260630,20260628,1
632:20260630,20260628,1
101:20260630,20260628,2
161:20260630,20260628,2
164:20260630,20260628,2
144:20260630,20260628,2
805:20260630,20260628,2
M125:20260630,20260628,2
102:20260630,20260628,2
M144:20260630,20260628,2
168:20260630,20260628,2
628:20260630,20260628,1
167:20260630,20260628,2
645:20260630,20260628,1
623:20260630,20260628,1
523:20260630,20260628,2
614:20260630,20260628,1
114:20260630,20260628,2
658:20260630,20260628,1
