service_id,date,exception_type
405:20250831,20250831,2
633:20250831,20250831,1
113:20250831,20250831,2
110:20250831,20250831,2
119:20250831,20250831,2
108:20250831,20250831,2
125:20250831,20250831,2
138:20250831,20250831,2
161:20250831,20250831,2
650:20250831,20250831,1
632:20250831,20250831,1
134:20250831,20250831,2
135:20250831,20250831,2
127:20250831,20250831,2
807:20250831,20250831,2
157:20250831,20250831,2
645:20250831,20250831,1
117:20250831,20250831,2
172:20250831,20250831,2
141:20250831,20250831,2
639:20250831,20250831,1
654:20250831,20250831,1
651:20250831,20250831,1
603:20250831,20250831,1
630:20250831,20250831,1
115:20250831,20250831,2
424:20250831,20250831,2
624:20250831,20250831,1
101:20250831,20250831,2
515:20250831,20250831,2
663:20250831,20250831,1
511:20250831,20250831,2
604:20250831,20250831,1
417:20250831,20250831,2
659:20250831,20250831,1
111:20250831,20250831,2
428:20250831,20250831,2
162:20250831,20250831,2
635:20250831,20250831,1
167:20250831,20250831,2
811:20250831,20250831,2
120:20250831,20250831,2
506:20250831,20250831,2
409:20250831,20250831,2
401:20250831,20250831,2
820:20250831,20250831,2
643:20250831,20250831,1
644:20250831,20250831,1
102:20250831,20250831,2
617:20250831,20250831,1
153:20250831,20250831,2
657:20250831,20250831,1
121:20250831,20250831,2
429:20250831,20250831,2
619:20250831,20250831,1
416:20250831,20250831,2
622:20250831,20250831,1
665:20250831,20250831,1
612:20250831,20250831,1
168:20250831,20250831,2
137:20250831,20250831,2
519:20250831,20250831,2
165:20250831,20250831,2
149:20250831,20250831,2
620:20250831,20250831,1
649:20250831,20250831,1
147:20250831,20250831,2
634:20250831,20250831,1
103:20250831,20250831,2
155:20250831,20250831,2
601:20250831,20250831,1
136:20250831,20250831,2
618:20250831,20250831,1
145:20250831,20250831,2
160:20250831,20250831,2
105:20250831,20250831,2
631:20250831,20250831,1
126:20250831,20250831,2
130:20250831,20250831,2
653:20250831,20250831,1
156:20250831,20250831,2
642:20250831,20250831,1
154:20250831,20250831,2
413:20250831,20250831,2
648:20250831,20250831,1
107:20250831,20250831,2
621:20250831,20250831,1
131:20250831,20250831,2
124:20250831,20250831,2
173:20250831,20250831,2
609:20250831,20250831,1
616:20250831,20250831,1
526:20250831,20250831,2
150:20250831,20250831,2
132:20250831,20250831,2
510:20250831,20250831,2
638:20250831,20250831,1
664:20250831,20250831,1
658:20250831,20250831,1
627:20250831,20250831,1
169:20250831,20250831,2
814:20250831,20250831,2
623:20250831,20250831,1
605:20250831,20250831,1
171:20250831,20250831,2
144:20250831,20250831,2
152:20250831,20250831,2
139:20250831,20250831,2
151:20250831,20250831,2
628:20250831,20250831,1
408:20250831,20250831,2
166:20250831,20250831,2
660:20250831,20250831,1
805:20250831,20250831,2
523:20250831,20250831,2
611:20250831,20250831,1
421:20250831,20250831,2
607:20250831,20250831,1
640:20250831,20250831,1
174:20250831,20250831,2
647:20250831,20250831,1
140:20250831,20250831,2
123:20250831,20250831,2
129:20250831,20250831,2
655:20250831,20250831,1
502:20250831,20250831,2
514:20250831,20250831,2
606:20250831,20250831,1
133:20250831,20250831,2
822:20250831,20250831,2
412:20250831,20250831,2
118:20250831,20250831,2
