route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Limited,425:20250831,425:20250831,San Francisco,425,0,,,1,1
Local Weekday,144:20250831,144:20250831,San Jose Diridon,144,1,,,1,1
Local Weekday,166:20250831,166:20250831,San Jose Diridon,166,1,,,1,1
Local Weekend,612:20250831,612:20250831,San Jose Diridon,612,1,,,1,1
Limited,401:20250831,401:20250831,San Francisco,401,0,,,1,1
Limited,404:20250831,404:20250831,San Jose Diridon,404,1,,,1,1
Local Weekday,162:20250831,162:20250831,San Jose Diridon,162,1,,,1,1
Local Weekday,117:20250831,117:20250831,San Francisco,117,0,,,1,1
Local Weekday,129:20250831,129:20250831,San Francisco,129,0,,,1,1
Local Weekday,154:20250831,154:20250831,San Jose Diridon,154,1,,,1,1
Local Weekend,602:20250831,602:20250831,San Jose Diridon,602,1,,,1,1
Limited,417:20250831,417:20250831,San Francisco,417,0,,,1,1
Local Weekday,150:20250831,150:20250831,San Jose Diridon,150,1,,,1,1
Local Weekday,168:20250831,168:20250831,San Jose Diridon,168,1,,,1,1
Local Weekday,107:20250831,107:20250831,San Francisco,107,0,,,1,1
Local Weekday,119:20250831,119:20250831,San Francisco,119,0,,,1,1
Express,515:20250831,515:20250831,San Francisco,515,0,,,1,1
Local Weekday,165:20250831,165:20250831,San Francisco,165,0,,,1,1
Express,511:20250831,511:20250831,San Francisco,511,0,,,1,1
Local Weekday,160:20250831,160:20250831,San Jose Diridon,160,1,,,1,1
Local Weekend,608:20250831,608:20250831,San Jose Diridon,608,1,,,1,1
Local Weekend,656:20250831,656:20250831,San Jose Diridon,656,1,,,1,1
Local Weekend,611:20250831,611:20250831,San Francisco,611,0,,,1,1
Limited,412:20250831,412:20250831,San Jose Diridon,412,1,,,1,1
Local Weekday,126:20250831,126:20250831,San Jose Diridon,126,1,,,1,1
Express,526:20250831,526:20250831,San Jose Diridon,526,1,,,1,1
Local Weekday,128:20250831,128:20250831,San Jose Diridon,128,1,,,1,1
Local Weekend,658:20250831,658:20250831,San Jose Diridon,658,1,,,1,1
Local Weekend,635:20250831,635:20250831,San Francisco,635,0,,,1,1
Local Weekday,161:20250831,161:20250831,San Francisco,161,0,,,1,1
Local Weekend,605:20250831,605:20250831,San Francisco,605,0,,,1,1
Local Weekday,118:20250831,118:20250831,San Jose Diridon,118,1,,,1,1
Local Weekend,652:20250831,652:20250831,San Jose Diridon,652,1,,,1,1
Express,519:20250831,519:20250831,San Francisco,519,0,,,1,1
Local Weekday,152:20250831,152:20250831,San Jose Diridon,152,1,,,1,1
Local Weekday,145:20250831,145:20250831,San Francisco,145,0,,,1,1
Local Weekend,604:20250831,604:20250831,San Jose Diridon,604,1,,,1,1
Local Weekend,664:20250831,664:20250831,San Jose Diridon,664,1,,,1,1
Local Weekday,116:20250831,116:20250831,San Jose Diridon,116,1,,,1,1
Express,514:20250831,514:20250831,San Jose Diridon,514,1,,,1,1
Local Weekday,163:20250831,163:20250831,San Francisco,163,0,,,1,1
Local Weekday,143:20250831,143:20250831,San Francisco,143,0,,,1,1
Local Weekend,601:20250831,601:20250831,San Francisco,601,0,,,1,1
South County,811:20250831,811:20250831,San Jose Diridon,811,0,,,1,1
Local Weekend,640:20250831,640:20250831,San Jose Diridon,640,1,,,1,1
Express,502:20250831,502:20250831,San Jose Diridon,502,1,,,1,1
Local Weekday,125:20250831,125:20250831,San Francisco,125,0,,,1,1
Local Weekend,607:20250831,607:20250831,San Francisco,607,0,,,1,1
Local Weekend,655:20250831,655:20250831,San Francisco,655,0,,,1,1
Local Weekend,642:20250831,642:20250831,San Jose Diridon,642,1,,,1,1
Local Weekday,121:20250831,121:20250831,San Francisco,121,0,,,1,1
