route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,172:20260228,172:20260228,Tamien,172,1,,,1,1
Local Weekend,656:20260228,656:20260228,San Jose Diridon,656,1,,,1,1
South County,825:20260228,825:20260228,San Jose Diridon,825,0,,,1,1
Local Weekday,M136:20260228,M136:20260228,Tamien,M136,1,,,1,1
Local Weekday,176:20260228,176:20260228,Tamien,176,1,,,1,1
Local Weekday,108:20260228,108:20260228,Tamien,108,1,,,1,1
Local Weekday,119:20260228,119:20260228,San Francisco,119,0,,,1,1
Local Weekday,M159:20260228,M159:20260228,San Francisco,M159,0,,,1,1
Local Weekend,603:20260228,603:20260228,San Francisco,603,0,,,1,1
Local Weekday,140:20260228,140:20260228,Tamien,140,1,,,1,1
Local Weekday,142:20260228,142:20260228,San Jose Diridon,142,1,,,1,1
Local Weekday,161:20260228,161:20260228,San Francisco,161,0,,,1,1
Local Weekend,653:20260228,653:20260228,San Francisco,653,0,,,1,1
Local Weekend,657:20260228,657:20260228,San Francisco,657,0,,,1,1
Local Weekend,619:20260228,619:20260228,San Francisco,619,0,,,1,1
Limited,429:20260228,429:20260228,San Francisco,429,0,,,1,1
Limited,416:20260228,416:20260228,San Jose Diridon,416,1,,,1,1
Local Weekday,117:20260228,117:20260228,San Francisco,117,0,,,1,1
Local Weekday,M121:20260228,M121:20260228,San Francisco,M121,0,,,1,1
Local Weekday,M108:20260228,M108:20260228,Tamien,M108,1,,,1,1
Local Weekday,103:20260228,103:20260228,San Francisco,103,0,,,1,1
Local Weekend,611:20260228,611:20260228,San Francisco,611,0,,,1,1
Local Weekend,642:20260228,642:20260228,Tamien,642,1,,,1,1
Local Weekday,M155:20260228,M155:20260228,San Francisco,M155,0,,,1,1
Local Weekday,171:20260228,171:20260228,San Francisco,171,0,,,1,1
Local Weekday,M129:20260228,M129:20260228,San Francisco,M129,0,,,1,1
Local Weekend,624:20260228,624:20260228,San Jose Diridon,624,1,,,1,1
Local Weekend,650:20260228,650:20260228,Tamien,650,1,,,1,1
Local Weekend,609:20260228,609:20260228,San Francisco,609,0,,,1,1
South County,840:20260228,840:20260228,Gilroy,840,1,,,1,1
Local Weekday,M139:20260228,M139:20260228,San Francisco,M139,0,,,1,1
Local Weekend,629:20260228,629:20260228,San Francisco,629,0,,,1,1
Local Weekday,125:20260228,125:20260228,San Francisco,125,0,,,1,1
Local Weekday,M137:20260228,M137:20260228,San Francisco,M137,0,,,1,1
Local Weekday,112:20260228,112:20260228,Tamien,112,1,,,1,1
Local Weekday,M128:20260228,M128:20260228,Tamien,M128,1,,,1,1
Local Weekday,138:20260228,138:20260228,San Jose Diridon,138,1,,,1,1
Local Weekday,M127:20260228,M127:20260228,San Francisco,M127,0,,,1,1
Local Weekday,M171:20260228,M171:20260228,San Francisco,M171,0,,,1,1
Limited,409:20260228,409:20260228,San Francisco,409,0,,,1,1
Limited,424:20260228,424:20260228,San Jose Diridon,424,1,,,1,1
Local Weekday,153:20260228,153:20260228,San Francisco,153,0,,,1,1
Local Weekday,136:20260228,136:20260228,Tamien,136,1,,,1,1
Express,515:20260228,515:20260228,San Francisco,515,0,,,1,1
Local Weekday,M157:20260228,M157:20260228,San Francisco,M157,0,,,1,1
Local Weekday,139:20260228,139:20260228,San Francisco,139,0,,,1,1
Local Weekend,636:20260228,636:20260228,San Jose Diridon,636,1,,,1,1
Local Weekday,144:20260228,144:20260228,Tamien,144,1,,,1,1
Local Weekday,M102:20260228,M102:20260228,San Jose Diridon,M102,1,,,1,1
Local Weekday,115:20260228,115:20260228,San Francisco,115,0,,,1,1
Local Weekend,606:20260228,606:20260228,Tamien,606,1,,,1,1
Express,506:20260228,506:20260228,San Jose Diridon,506,1,,,1,1
Express,527:20260228,527:20260228,San Francisco,527,0,,,1,1
Local Weekday,148:20260228,148:20260228,Tamien,148,1,,,1,1
Local Weekday,156:20260228,156:20260228,Tamien,156,1,,,1,1
Local Weekday,M133:20260228,M133:20260228,San Francisco,M133,0,,,1,1
Local Weekday,104:20260228,104:20260228,Tamien,104,1,,,1,1
Local Weekday,110:20260228,110:20260228,San Jose Diridon,110,1,,,1,1
Local Weekend,651:20260228,651:20260228,San Francisco,651,0,,,1,1
Local Weekday,M149:20260228,M149:20260228,San Francisco,M149,0,,,1,1
Local Weekday,M104:20260228,M104:20260228,Tamien,M104,1,,,1,1
Local Weekday,160:20260228,160:20260228,Tamien,160,1,,,1,1
Local Weekday,106:20260228,106:20260228,San Jose Diridon,106,1,,,1,1
Local Weekend,602:20260228,602:20260228,Tamien,602,1,,,1,1
Limited,413:20260228,413:20260228,San Francisco,413,0,,,1,1
Local Weekday,120:20260228,120:20260228,Tamien,120,1,,,1,1
Local Weekday,114:20260228,114:20260228,San Jose Diridon,114,1,,,1,1
Local Weekday,M146:20260228,M146:20260228,San Jose Diridon,M146,1,,,1,1
Local Weekday,170:20260228,170:20260228,San Jose Diridon,170,1,,,1,1
Local Weekday,M151:20260228,M151:20260228,San Francisco,M151,0,,,1,1
Local Weekend,604:20260228,604:20260228,San Jose Diridon,604,1,,,1,1
Local Weekend,615:20260228,615:20260228,San Francisco,615,0,,,1,1
Local Weekend,605:20260228,605:20260228,San Francisco,605,0,,,1,1
Local Weekend,618:20260228,618:20260228,Tamien,618,1,,,1,1
Limited,425:20260228,425:20260228,San Francisco,425,0,,,1,1
Express,526:20260228,526:20260228,San Jose Diridon,526,1,,,1,1
Local Weekday,M140:20260228,M140:20260228,Tamien,M140,1,,,1,1
Local Weekday,M134:20260228,M134:20260228,San Jose Diridon,M134,1,,,1,1
Local Weekday,M107:20260228,M107:20260228,San Francisco,M107,0,,,1,1
South County,820:20260228,820:20260228,Gilroy,820,1,,,1,1
South County,807:20260228,807:20260228,San Jose Diridon,807,0,,,1,1
Local Weekday,164:20260228,164:20260228,Tamien,164,1,,,1,1
Local Weekday,122:20260228,122:20260228,San Jose Diridon,122,1,,,1,1
Limited,421:20260228,421:20260228,San Francisco,421,0,,,1,1
South County,816:20260228,816:20260228,Gilroy,816,1,,,1,1
Local Weekday,M168:20260228,M168:20260228,Tamien,M168,1,,,1,1
