service_id,date,exception_type
642:20260228,20260228,1
M135:20260228,20260228,2
153:20260228,20260228,2
150:20260228,20260228,2
805:20260228,20260228,2
612:20260228,20260228,1
136:20260228,20260228,2
420:20260228,20260228,2
668:20260228,20260228,1
M133:20260228,20260228,2
157:20260228,20260228,2
M163:20260228,20260228,2
104:20260228,20260228,2
152:20260228,20260228,2
138:20260228,20260228,2
128:20260228,20260228,2
663:20260228,20260228,1
527:20260228,20260228,2
620:20260228,20260228,1
611:20260228,20260228,1
518:20260228,20260228,2
650:20260228,20260228,1
664:20260228,20260228,1
659:20260228,20260228,1
624:20260228,20260228,1
404:20260228,20260228,2
156:20260228,20260228,2
143:20260228,20260228,2
M101:20260228,20260228,2
M159:20260228,20260228,2
M141:20260228,20260228,2
107:20260228,20260228,2
608:20260228,20260228,1
170:20260228,20260228,2
417:20260228,20260228,2
M129:20260228,20260228,2
656:20260228,20260228,1
526:20260228,20260228,2
523:20260228,20260228,2
503:20260228,20260228,2
106:20260228,20260228,2
609:20260228,20260228,1
649:20260228,20260228,1
619:20260228,20260228,1
412:20260228,20260228,2
M118:20260228,20260228,2
M164:20260228,20260228,2
M171:20260228,20260228,2
147:20260228,20260228,2
424:20260228,20260228,2
M106:20260228,20260228,2
660:20260228,20260228,1
110:20260228,20260228,2
421:20260228,20260228,2
519:20260228,20260228,2
630:20260228,20260228,1
814:20260228,20260228,2
M128:20260228,20260228,2
635:20260228,20260228,1
151:20260228,20260228,2
109:20260228,20260228,2
M110:20260228,20260228,2
M126:20260228,20260228,2
662:20260228,20260228,1
661:20260228,20260228,1
M102:20260228,20260228,2
139:20260228,20260228,2
108:20260228,20260228,2
401:20260228,20260228,2
103:20260228,20260228,2
159:20260228,20260228,2
602:20260228,20260228,1
131:20260228,20260228,2
648:20260228,20260228,1
511:20260228,20260228,2
M161:20260228,20260228,2
409:20260228,20260228,2
655:20260228,20260228,1
626:20260228,20260228,1
429:20260228,20260228,2
122:20260228,20260228,2
510:20260228,20260228,2
M112:20260228,20260228,2
629:20260228,20260228,1
M162:20260228,20260228,2
M154:20260228,20260228,2
M158:20260228,20260228,2
154:20260228,20260228,2
628:20260228,20260228,1
634:20260228,20260228,1
M130:20260228,20260228,2
M108:20260228,20260228,2
606:20260228,20260228,1
811:20260228,20260228,2
146:20260228,20260228,2
M107:20260228,20260228,2
816:20260228,20260228,2
M136:20260228,20260228,2
638:20260228,20260228,1
M109:20260228,20260228,2
M156:20260228,20260228,2
627:20260228,20260228,1
621:20260228,20260228,1
M137:20260228,20260228,2
640:20260228,20260228,1
M145:20260228,20260228,2
171:20260228,20260228,2
135:20260228,20260228,2
636:20260228,20260228,1
M166:20260228,20260228,2
M120:20260228,20260228,2
502:20260228,20260228,2
653:20260228,20260228,1
M134:20260228,20260228,2
144:20260228,20260228,2
127:20260228,20260228,2
840:20260228,20260228,2
M113:20260228,20260228,2
M111:20260228,20260228,2
515:20260228,20260228,2
408:20260228,20260228,2
M143:20260228,20260228,2
M168:20260228,20260228,2
M125:20260228,20260228,2
625:20260228,20260228,1
130:20260228,20260228,2
M138:20260228,20260228,2
405:20260228,20260228,2
M148:20260228,20260228,2
613:20260228,20260228,1
425:20260228,20260228,2
119:20260228,20260228,2
631:20260228,20260228,1
158:20260228,20260228,2
M104:20260228,20260228,2
603:20260228,20260228,1
622:20260228,20260228,1
M172:20260228,20260228,2
M150:20260228,20260228,2
123:20260228,20260228,2
112:20260228,20260228,2
118:20260228,20260228,2
M132:20260228,20260228,2
M127:20260228,20260228,2
169:20260228,20260228,2
121:20260228,20260228,2
644:20260228,20260228,1
117:20260228,20260228,2
M151:20260228,20260228,2
M157:20260228,20260228,2
165:20260228,20260228,2
155:20260228,20260228,2
120:20260228,20260228,2
665:20260228,20260228,1
M116:20260228,20260228,2
522:20260228,20260228,2
M115:20260228,20260228,2
173:20260228,20260228,2
M103:20260228,20260228,2
125:20260228,20260228,2
641:20260228,20260228,1
137:20260228,20260228,2
M119:20260228,20260228,2
647:20260228,20260228,1
140:20260228,20260228,2
617:20260228,20260228,1
134:20260228,20260228,2
M155:20260228,20260228,2
819:20260228,20260228,2
