service_id,date,exception_type
401:20260331,20260331,1
131:20260331,20260331,1
814:20260331,20260331,1
413:20260331,20260331,1
623:20260331,20260331,2
617:20260331,20260331,2
114:20260331,20260331,1
628:20260331,20260331,2
110:20260331,20260331,1
M169:20260331,20260331,2
611:20260331,20260331,2
651:20260331,20260331,2
145:20260331,20260331,1
M103:20260331,20260331,2
643:20260331,20260331,2
602:20260331,20260331,2
605:20260331,20260331,2
805:20260331,20260331,1
103:20260331,20260331,1
141:20260331,20260331,1
149:20260331,20260331,1
M173:20260331,20260331,2
164:20260331,20260331,1
526:20260331,20260331,1
M144:20260331,20260331,2
627:20260331,20260331,2
619:20260331,20260331,2
633:20260331,20260331,2
514:20260331,20260331,1
502:20260331,20260331,1
519:20260331,20260331,1
M118:20260331,20260331,2
125:20260331,20260331,1
848:20260331,20260331,2
659:20260331,20260331,2
M148:20260331,20260331,2
160:20260331,20260331,1
172:20260331,20260331,1
635:20260331,20260331,2
M104:20260331,20260331,2
664:20260331,20260331,2
M150:20260331,20260331,2
133:20260331,20260331,1
M106:20260331,20260331,2
142:20260331,20260331,1
M114:20260331,20260331,2
169:20260331,20260331,1
M151:20260331,20260331,2
M176:20260331,20260331,2
603:20260331,20260331,2
518:20260331,20260331,1
840:20260331,20260331,2
134:20260331,20260331,1
522:20260331,20260331,1
510:20260331,20260331,1
622:20260331,20260331,2
M155:20260331,20260331,2
M138:20260331,20260331,2
129:20260331,20260331,1
M153:20260331,20260331,2
137:20260331,20260331,1
M110:20260331,20260331,2
159:20260331,20260331,1
809:20260331,20260331,1
M122:20260331,20260331,2
417:20260331,20260331,1
404:20260331,20260331,1
135:20260331,20260331,1
106:20260331,20260331,1
511:20260331,20260331,1
M137:20260331,20260331,2
M115:20260331,20260331,2
M168:20260331,20260331,2
M158:20260331,20260331,2
147:20260331,20260331,1
416:20260331,20260331,1
117:20260331,20260331,1
M147:20260331,20260331,2
151:20260331,20260331,1
613:20260331,20260331,2
148:20260331,20260331,1
639:20260331,20260331,2
176:20260331,20260331,1
165:20260331,20260331,1
M123:20260331,20260331,2
152:20260331,20260331,1
640:20260331,20260331,2
M171:20260331,20260331,2
M162:20260331,20260331,2
161:20260331,20260331,1
668:20260331,20260331,2
127:20260331,20260331,1
108:20260331,20260331,1
608:20260331,20260331,2
M174:20260331,20260331,2
M129:20260331,20260331,2
M134:20260331,20260331,2
661:20260331,20260331,2
424:20260331,20260331,1
M152:20260331,20260331,2
825:20260331,20260331,2
409:20260331,20260331,1
601:20260331,20260331,2
M142:20260331,20260331,2
104:20260331,20260331,1
M126:20260331,20260331,2
658:20260331,20260331,2
124:20260331,20260331,1
405:20260331,20260331,1
M113:20260331,20260331,2
M128:20260331,20260331,2
174:20260331,20260331,1
M165:20260331,20260331,2
620:20260331,20260331,2
609:20260331,20260331,2
158:20260331,20260331,1
138:20260331,20260331,1
M124:20260331,20260331,2
M107:20260331,20260331,2
M166:20260331,20260331,2
163:20260331,20260331,1
122:20260331,20260331,1
M127:20260331,20260331,2
M131:20260331,20260331,2
155:20260331,20260331,1
M172:20260331,20260331,2
624:20260331,20260331,2
126:20260331,20260331,1
654:20260331,20260331,2
157:20260331,20260331,1
807:20260331,20260331,1
607:20260331,20260331,2
M145:20260331,20260331,2
641:20260331,20260331,2
515:20260331,20260331,1
107:20260331,20260331,1
656:20260331,20260331,2
816:20260331,20260331,1
M161:20260331,20260331,2
M112:20260331,20260331,2
154:20260331,20260331,1
657:20260331,20260331,2
631:20260331,20260331,2
M132:20260331,20260331,2
M102:20260331,20260331,2
637:20260331,20260331,2
614:20260331,20260331,2
646:20260331,20260331,2
M167:20260331,20260331,2
130:20260331,20260331,1
167:20260331,20260331,1
425:20260331,20260331,1
420:20260331,20260331,1
645:20260331,20260331,2
M156:20260331,20260331,2
638:20260331,20260331,2
111:20260331,20260331,1
610:20260331,20260331,2
M149:20260331,20260331,2
140:20260331,20260331,1
