route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,172:20260331,172:20260331,Tamien,172,1,,,1,1
Local Weekend,656:20260331,656:20260331,San Jose Diridon,656,1,,,1,1
South County,825:20260331,825:20260331,San Jose Diridon,825,0,,,1,1
Local Weekday,M136:20260331,M136:20260331,Tamien,M136,1,,,1,1
Local Weekday,176:20260331,176:20260331,Tamien,176,1,,,1,1
Local Weekday,108:20260331,108:20260331,Tamien,108,1,,,1,1
Local Weekday,119:20260331,119:20260331,San Francisco,119,0,,,1,1
Local Weekday,M159:20260331,M159:20260331,San Francisco,M159,0,,,1,1
Local Weekend,603:20260331,603:20260331,San Francisco,603,0,,,1,1
Local Weekday,140:20260331,140:20260331,Tamien,140,1,,,1,1
Local Weekday,142:20260331,142:20260331,San Jose Diridon,142,1,,,1,1
Local Weekday,161:20260331,161:20260331,San Francisco,161,0,,,1,1
Local Weekend,653:20260331,653:20260331,San Francisco,653,0,,,1,1
Local Weekend,657:20260331,657:20260331,San Francisco,657,0,,,1,1
Limited,429:20260331,429:20260331,San Francisco,429,0,,,1,1
Local Weekday,117:20260331,117:20260331,San Francisco,117,0,,,1,1
Local Weekday,M121:20260331,M121:20260331,San Francisco,M121,0,,,1,1
Local Weekday,M108:20260331,M108:20260331,Tamien,M108,1,,,1,1
Local Weekday,103:20260331,103:20260331,San Francisco,103,0,,,1,1
Local Weekend,611:20260331,611:20260331,San Francisco,611,0,,,1,1
Local Weekend,619:20260331,619:20260331,San Francisco,619,0,,,1,1
Local Weekend,642:20260331,642:20260331,Tamien,642,1,,,1,1
Limited,416:20260331,416:20260331,San Jose Diridon,416,1,,,1,1
Local Weekday,M155:20260331,M155:20260331,San Francisco,M155,0,,,1,1
Local Weekday,171:20260331,171:20260331,San Francisco,171,0,,,1,1
Local Weekday,M129:20260331,M129:20260331,San Francisco,M129,0,,,1,1
Local Weekend,650:20260331,650:20260331,Tamien,650,1,,,1,1
Local Weekend,624:20260331,624:20260331,San Jose Diridon,624,1,,,1,1
South County,840:20260331,840:20260331,Gilroy,840,1,,,1,1
Local Weekend,609:20260331,609:20260331,San Francisco,609,0,,,1,1
Local Weekday,M139:20260331,M139:20260331,San Francisco,M139,0,,,1,1
Local Weekend,629:20260331,629:20260331,San Francisco,629,0,,,1,1
Local Weekday,125:20260331,125:20260331,San Francisco,125,0,,,1,1
Local Weekday,M137:20260331,M137:20260331,San Francisco,M137,0,,,1,1
Local Weekday,M127:20260331,M127:20260331,San Francisco,M127,0,,,1,1
Local Weekday,112:20260331,112:20260331,Tamien,112,1,,,1,1
Local Weekday,M128:20260331,M128:20260331,Tamien,M128,1,,,1,1
Local Weekday,138:20260331,138:20260331,San Jose Diridon,138,1,,,1,1
Local Weekday,M171:20260331,M171:20260331,San Francisco,M171,0,,,1,1
Express,515:20260331,515:20260331,San Francisco,515,0,,,1,1
Limited,409:20260331,409:20260331,San Francisco,409,0,,,1,1
Limited,424:20260331,424:20260331,San Jose Diridon,424,1,,,1,1
Local Weekday,153:20260331,153:20260331,San Francisco,153,0,,,1,1
Local Weekday,M157:20260331,M157:20260331,San Francisco,M157,0,,,1,1
