route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,M163:20260430,M163:20260430,San Francisco,M163,0,,,1,1
Local Weekday,128:20260430,128:20260430,Tamien,128,1,,,1,1
Local Weekday,158:20260430,158:20260430,San Jose Diridon,158,1,,,1,1
Local Weekday,127:20260430,127:20260430,San Francisco,127,0,,,1,1
Local Weekend,640:20260430,640:20260430,San Jose Diridon,640,1,,,1,1
Local Weekday,M101:20260430,M101:20260430,San Francisco,M101,0,,,1,1
Local Weekday,M117:20260430,M117:20260430,San Francisco,M117,0,,,1,1
Local Weekday,174:20260430,174:20260430,San Jose Diridon,174,1,,,1,1
Local Weekday,118:20260430,118:20260430,San Jose Diridon,118,1,,,1,1
Local Weekday,147:20260430,147:20260430,San Francisco,147,0,,,1,1
Local Weekend,613:20260430,613:20260430,San Francisco,613,0,,,1,1
Local Weekend,641:20260430,641:20260430,San Francisco,641,0,,,1,1
Local Weekend,668:20260430,668:20260430,Tamien,668,1,,,1,1
Local Weekend,623:20260430,623:20260430,San Francisco,623,0,,,1,1
Local Weekend,633:20260430,633:20260430,San Francisco,633,0,,,1,1
Local Weekend,663:20260430,663:20260430,San Francisco,663,0,,,1,1
Local Weekday,M169:20260430,M169:20260430,San Francisco,M169,0,,,1,1
Local Weekday,162:20260430,162:20260430,San Jose Diridon,162,1,,,1,1
Local Weekday,166:20260430,166:20260430,San Jose Diridon,166,1,,,1,1
Local Weekend,620:20260430,620:20260430,San Jose Diridon,620,1,,,1,1
Local Weekend,634:20260430,634:20260430,Tamien,634,1,,,1,1
South County,814:20260430,814:20260430,Gilroy,814,1,,,1,1
Local Weekday,109:20260430,109:20260430,San Francisco,109,0,,,1,1
Local Weekday,M112:20260430,M112:20260430,Tamien,M112,1,,,1,1
Local Weekday,M113:20260430,M113:20260430,San Francisco,M113,0,,,1,1
Local Weekday,M126:20260430,M126:20260430,San Jose Diridon,M126,1,,,1,1
Local Weekday,M114:20260430,M114:20260430,San Jose Diridon,M114,1,,,1,1
Local Weekday,M173:20260430,M173:20260430,San Francisco,M173,0,,,1,1
Local Weekend,616:20260430,616:20260430,San Jose Diridon,616,1,,,1,1
Express,522:20260430,522:20260430,San Jose Diridon,522,1,,,1,1
Local Weekday,M109:20260430,M109:20260430,San Francisco,M109,0,,,1,1
Local Weekend,627:20260430,627:20260430,San Francisco,627,0,,,1,1
Local Weekend,664:20260430,664:20260430,San Jose Diridon,664,1,,,1,1
Limited,420:20260430,420:20260430,San Jose Diridon,420,1,,,1,1
Local Weekday,145:20260430,145:20260430,San Francisco,145,0,,,1,1
Local Weekend,661:20260430,661:20260430,San Francisco,661,0,,,1,1
Local Weekday,M154:20260430,M154:20260430,San Jose Diridon,M154,1,,,1,1
Local Weekday,107:20260430,107:20260430,San Francisco,107,0,,,1,1
Express,502:20260430,502:20260430,San Jose Diridon,502,1,,,1,1
Local Weekday,168:20260430,168:20260430,Tamien,168,1,,,1,1
Local Weekday,157:20260430,157:20260430,San Francisco,157,0,,,1,1
Local Weekday,116:20260430,116:20260430,Tamien,116,1,,,1,1
Local Weekend,601:20260430,601:20260430,San Francisco,601,0,,,1,1
Local Weekend,621:20260430,621:20260430,San Francisco,621,0,,,1,1
Local Weekday,M170:20260430,M170:20260430,San Jose Diridon,M170,1,,,1,1
Express,523:20260430,523:20260430,San Francisco,523,0,,,1,1
Local Weekday,M120:20260430,M120:20260430,Tamien,M120,1,,,1,1
Local Weekday,M111:20260430,M111:20260430,San Francisco,M111,0,,,1,1
Local Weekday,101:20260430,101:20260430,San Francisco,101,0,,,1,1
Local Weekday,M118:20260430,M118:20260430,San Jose Diridon,M118,1,,,1,1
Local Weekday,163:20260430,163:20260430,San Francisco,163,0,,,1,1
Local Weekday,123:20260430,123:20260430,San Francisco,123,0,,,1,1
Local Weekday,M110:20260430,M110:20260430,San Jose Diridon,M110,1,,,1,1
Local Weekend,625:20260430,625:20260430,San Francisco,625,0,,,1,1
Local Weekend,662:20260430,662:20260430,Tamien,662,1,,,1,1
Local Weekday,102:20260430,102:20260430,San Jose Diridon,102,1,,,1,1
Local Weekday,M166:20260430,M166:20260430,San Jose Diridon,M166,1,,,1,1
South County,822:20260430,822:20260430,Gilroy,822,1,,,1,1
Local Weekday,137:20260430,137:20260430,San Francisco,137,0,,,1,1
Local Weekday,M124:20260430,M124:20260430,Tamien,M124,1,,,1,1
Local Weekday,M147:20260430,M147:20260430,San Francisco,M147,0,,,1,1
Local Weekday,M131:20260430,M131:20260430,San Francisco,M131,0,,,1,1
Local Weekday,165:20260430,165:20260430,San Francisco,165,0,,,1,1
Local Weekday,M156:20260430,M156:20260430,Tamien,M156,1,,,1,1
Local Weekday,M148:20260430,M148:20260430,Tamien,M148,1,,,1,1
Local Weekday,133:20260430,133:20260430,San Francisco,133,0,,,1,1
Local Weekday,135:20260430,135:20260430,San Francisco,135,0,,,1,1
Local Weekend,648:20260430,648:20260430,San Jose Diridon,648,1,,,1,1
Express,507:20260430,507:20260430,San Francisco,507,0,,,1,1
Local Weekday,151:20260430,151:20260430,San Francisco,151,0,,,1,1
Local Weekend,644:20260430,644:20260430,San Jose Diridon,644,1,,,1,1
Local Weekday,113:20260430,113:20260430,San Francisco,113,0,,,1,1
Local Weekday,M106:20260430,M106:20260430,San Jose Diridon,M106,1,,,1,1
Local Weekday,M122:20260430,M122:20260430,San Jose Diridon,M122,1,,,1,1
Local Weekday,129:20260430,129:20260430,San Francisco,129,0,,,1,1
Local Weekday,M138:20260430,M138:20260430,San Jose Diridon,M138,1,,,1,1
Local Weekday,154:20260430,154:20260430,San Jose Diridon,154,1,,,1,1
Local Weekend,658:20260430,658:20260430,Tamien,658,1,,,1,1
Limited,405:20260430,405:20260430,San Francisco,405,0,,,1,1
Local Weekend,655:20260430,655:20260430,San Francisco,655,0,,,1,1
Limited,428:20260430,428:20260430,San Jose Diridon,428,1,,,1,1
Local Weekday,M145:20260430,M145:20260430,San Francisco,M145,0,,,1,1
Local Weekday,M164:20260430,M164:20260430,Tamien,M164,1,,,1,1
Local Weekday,130:20260430,130:20260430,San Jose Diridon,130,1,,,1,1
Local Weekday,M143:20260430,M143:20260430,San Francisco,M143,0,,,1,1
Local Weekday,M123:20260430,M123:20260430,San Francisco,M123,0,,,1,1
