route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,149:20251031,149:20251031,San Francisco,149,0,,,1,1
Local Weekend,608:20251031,608:20251031,San Jose Diridon,608,1,,,1,1
Limited,405:20251031,405:20251031,San Francisco,405,0,,,1,1
Local Weekend,610:20251031,610:20251031,San Jose Diridon,610,1,,,1,1
Local Weekday,109:20251031,109:20251031,San Francisco,109,0,,,1,1
Local Weekend,637:20251031,637:20251031,San Francisco,637,0,,,1,1
Local Weekday,148:20251031,148:20251031,San Jose Diridon,148,1,,,1,1
Local Weekday,155:20251031,155:20251031,San Francisco,155,0,,,1,1
Local Weekend,606:20251031,606:20251031,San Jose Diridon,606,1,,,1,1
Express,526:20251031,526:20251031,San Jose Diridon,526,1,,,1,1
Local Weekend,616:20251031,616:20251031,San Jose Diridon,616,1,,,1,1
Local Weekend,623:20251031,623:20251031,San Francisco,623,0,,,1,1
Local Weekend,655:20251031,655:20251031,San Francisco,655,0,,,1,1
Local Weekday,172:20251031,172:20251031,San Jose Diridon,172,1,,,1,1
Local Weekend,622:20251031,622:20251031,San Jose Diridon,622,1,,,1,1
Local Weekend,624:20251031,624:20251031,San Jose Diridon,624,1,,,1,1
Local Weekend,662:20251031,662:20251031,San Jose Diridon,662,1,,,1,1
Local Weekend,629:20251031,629:20251031,San Francisco,629,0,,,1,1
Local Weekend,639:20251031,639:20251031,San Francisco,639,0,,,1,1
Limited,416:20251031,416:20251031,San Jose Diridon,416,1,,,1,1
Limited,420:20251031,420:20251031,San Jose Diridon,420,1,,,1,1
Local Weekday,114:20251031,114:20251031,San Jose Diridon,114,1,,,1,1
Local Weekday,120:20251031,120:20251031,San Jose Diridon,120,1,,,1,1
Express,514:20251031,514:20251031,San Jose Diridon,514,1,,,1,1
Express,515:20251031,515:20251031,San Francisco,515,0,,,1,1
Limited,417:20251031,417:20251031,San Francisco,417,0,,,1,1
Local Weekend,644:20251031,644:20251031,San Jose Diridon,644,1,,,1,1
Limited,409:20251031,409:20251031,San Francisco,409,0,,,1,1
Local Weekday,168:20251031,168:20251031,San Jose Diridon,168,1,,,1,1
Local Weekday,112:20251031,112:20251031,San Jose Diridon,112,1,,,1,1
Local Weekend,638:20251031,638:20251031,San Jose Diridon,638,1,,,1,1
Local Weekend,609:20251031,609:20251031,San Francisco,609,0,,,1,1
Local Weekend,625:20251031,625:20251031,San Francisco,625,0,,,1,1
Express,518:20251031,518:20251031,San Jose Diridon,518,1,,,1,1
Local Weekday,108:20251031,108:20251031,Tamien,108,1,,,1,1
Local Weekend,602:20251031,602:20251031,San Jose Diridon,602,1,,,1,1
Local Weekend,601:20251031,601:20251031,San Francisco,601,0,,,1,1
Local Weekend,664:20251031,664:20251031,San Jose Diridon,664,1,,,1,1
Express,522:20251031,522:20251031,San Jose Diridon,522,1,,,1,1
Local Weekend,613:20251031,613:20251031,San Francisco,613,0,,,1,1
Local Weekday,103:20251031,103:20251031,San Francisco,103,0,,,1,1
Local Weekend,643:20251031,643:20251031,San Francisco,643,0,,,1,1
Local Weekend,657:20251031,657:20251031,San Francisco,657,0,,,1,1
Local Weekend,660:20251031,660:20251031,San Jose Diridon,660,1,,,1,1
Local Weekend,621:20251031,621:20251031,San Francisco,621,0,,,1,1
Local Weekday,113:20251031,113:20251031,San Francisco,113,0,,,1,1
Local Weekend,632:20251031,632:20251031,San Jose Diridon,632,1,,,1,1
Local Weekend,636:20251031,636:20251031,San Jose Diridon,636,1,,,1,1
South County,809:20251031,809:20251031,San Jose Diridon,809,0,,,1,1
Local Weekday,139:20251031,139:20251031,San Francisco,139,0,,,1,1
Local Weekend,633:20251031,633:20251031,San Francisco,633,0,,,1,1
Local Weekend,626:20251031,626:20251031,San Jose Diridon,626,1,,,1,1
Local Weekday,151:20251031,151:20251031,San Francisco,151,0,,,1,1
Local Weekend,620:20251031,620:20251031,San Jose Diridon,620,1,,,1,1
Local Weekend,646:20251031,646:20251031,San Jose Diridon,646,1,,,1,1
South County,814:20251031,814:20251031,Gilroy,814,1,,,1,1
Local Weekday,102:20251031,102:20251031,San Jose Diridon,102,1,,,1,1
Local Weekday,164:20251031,164:20251031,San Jose Diridon,164,1,,,1,1
Local Weekday,176:20251031,176:20251031,San Jose Diridon,176,1,,,1,1
Local Weekday,165:20251031,165:20251031,San Francisco,165,0,,,1,1
Limited,412:20251031,412:20251031,San Jose Diridon,412,1,,,1,1
Local Weekday,146:20251031,146:20251031,San Jose Diridon,146,1,,,1,1
South County,811:20251031,811:20251031,San Jose Diridon,811,0,,,1,1
Express,506:20251031,506:20251031,San Jose Diridon,506,1,,,1,1
Limited,428:20251031,428:20251031,San Jose Diridon,428,1,,,1,1
Local Weekday,117:20251031,117:20251031,San Francisco,117,0,,,1,1
Local Weekday,153:20251031,153:20251031,San Francisco,153,0,,,1,1
Local Weekday,159:20251031,159:20251031,San Francisco,159,0,,,1,1
Local Weekday,143:20251031,143:20251031,San Francisco,143,0,,,1,1
Local Weekday,161:20251031,161:20251031,San Francisco,161,0,,,1,1
Local Weekday,167:20251031,167:20251031,San Francisco,167,0,,,1,1
South County,816:20251031,816:20251031,Gilroy,816,1,,,1,1
Local Weekday,169:20251031,169:20251031,San Francisco,169,0,,,1,1
Local Weekend,649:20251031,649:20251031,San Francisco,649,0,,,1,1
Limited,408:20251031,408:20251031,San Jose Diridon,408,1,,,1,1
Local Weekend,618:20251031,618:20251031,San Jose Diridon,618,1,,,1,1
Local Weekday,156:20251031,156:20251031,San Jose Diridon,156,1,,,1,1
Local Weekend,641:20251031,641:20251031,San Francisco,641,0,,,1,1
Local Weekday,130:20251031,130:20251031,San Jose Diridon,130,1,,,1,1
Local Weekend,640:20251031,640:20251031,San Jose Diridon,640,1,,,1,1
Local Weekday,122:20251031,122:20251031,San Jose Diridon,122,1,,,1,1
Local Weekday,119:20251031,119:20251031,San Francisco,119,0,,,1,1
Local Weekday,125:20251031,125:20251031,San Francisco,125,0,,,1,1
Local Weekend,612:20251031,612:20251031,San Jose Diridon,612,1,,,1,1
Limited,404:20251031,404:20251031,San Jose Diridon,404,1,,,1,1
Local Weekend,661:20251031,661:20251031,San Francisco,661,0,,,1,1
Local Weekday,134:20251031,134:20251031,San Jose Diridon,134,1,,,1,1
Local Weekend,642:20251031,642:20251031,San Jose Diridon,642,1,,,1,1
Local Weekend,605:20251031,605:20251031,San Francisco,605,0,,,1,1
Local Weekend,665:20251031,665:20251031,San Francisco,665,0,,,1,1
Local Weekend,628:20251031,628:20251031,San Jose Diridon,628,1,,,1,1
Local Weekday,158:20251031,158:20251031,San Jose Diridon,158,1,,,1,1
Local Weekday,121:20251031,121:20251031,San Francisco,121,0,,,1,1
Local Weekend,627:20251031,627:20251031,San Francisco,627,0,,,1,1
Local Weekday,126:20251031,126:20251031,San Jose Diridon,126,1,,,1,1
Local Weekday,152:20251031,152:20251031,San Jose Diridon,152,1,,,1,1
Local Weekend,647:20251031,647:20251031,San Francisco,647,0,,,1,1
Local Weekday,132:20251031,132:20251031,San Jose Diridon,132,1,,,1,1
Local Weekday,131:20251031,131:20251031,San Francisco,131,0,,,1,1
Express,527:20251031,527:20251031,San Francisco,527,0,,,1,1
Local Weekday,145:20251031,145:20251031,San Francisco,145,0,,,1,1
Express,510:20251031,510:20251031,San Jose Diridon,510,1,,,1,1
Local Weekday,136:20251031,136:20251031,San Jose Diridon,136,1,,,1,1
Local Weekday,111:20251031,111:20251031,San Francisco,111,0,,,1,1
Express,502:20251031,502:20251031,San Jose Diridon,502,1,,,1,1
Local Weekday,124:20251031,124:20251031,San Jose Diridon,124,1,,,1,1
Local Weekday,147:20251031,147:20251031,San Francisco,147,0,,,1,1
Local Weekend,652:20251031,652:20251031,San Jose Diridon,652,1,,,1,1
Express,519:20251031,519:20251031,San Francisco,519,0,,,1,1
Local Weekday,157:20251031,157:20251031,San Francisco,157,0,,,1,1
