route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Limited,412:20260131,412:20260131,San Jose Diridon,412,1,,,1,1
Local Weekday,M144:20260131,M144:20260131,Tamien,M144,1,,,1,1
Local Weekday,M168:20260131,M168:20260131,Tamien,M168,1,,,1,1
Local Weekday,M134:20260131,M134:20260131,San Jose Diridon,M134,1,,,1,1
Local Weekday,M158:20260131,M158:20260131,San Jose Diridon,M158,1,,,1,1
Express,511:20260131,511:20260131,San Francisco,511,0,,,1,1
Express,527:20260131,527:20260131,San Francisco,527,0,,,1,1
Limited,401:20260131,401:20260131,San Francisco,401,0,,,1,1
South County,840:20260131,840:20260131,Gilroy,840,1,,,1,1
South County,820:20260131,820:20260131,Gilroy,820,1,,,1,1
Local Weekday,M101:20260131,M101:20260131,San Francisco,M101,0,,,1,1
Local Weekday,M105:20260131,M105:20260131,San Francisco,M105,0,,,1,1
Local Weekday,M117:20260131,M117:20260131,San Francisco,M117,0,,,1,1
Local Weekday,M129:20260131,M129:20260131,San Francisco,M129,0,,,1,1
Local Weekday,M145:20260131,M145:20260131,San Francisco,M145,0,,,1,1
Local Weekday,M149:20260131,M149:20260131,San Francisco,M149,0,,,1,1
Local Weekday,M153:20260131,M153:20260131,San Francisco,M153,0,,,1,1
Local Weekday,157:20260131,157:20260131,San Francisco,157,0,,,1,1
Local Weekday,M161:20260131,M161:20260131,San Francisco,M161,0,,,1,1
Local Weekday,M173:20260131,M173:20260131,San Francisco,M173,0,,,1,1
Local Weekday,120:20260131,120:20260131,Tamien,120,1,,,1,1
Local Weekday,168:20260131,168:20260131,Tamien,168,1,,,1,1
Local Weekday,176:20260131,176:20260131,Tamien,176,1,,,1,1
Local Weekday,113:20260131,113:20260131,San Francisco,113,0,,,1,1
Local Weekday,M102:20260131,M102:20260131,San Jose Diridon,M102,1,,,1,1
Local Weekday,110:20260131,110:20260131,San Jose Diridon,110,1,,,1,1
Local Weekday,M114:20260131,M114:20260131,San Jose Diridon,M114,1,,,1,1
Local Weekday,M142:20260131,M142:20260131,San Jose Diridon,M142,1,,,1,1
Local Weekday,M146:20260131,M146:20260131,San Jose Diridon,M146,1,,,1,1
Local Weekday,154:20260131,154:20260131,San Jose Diridon,154,1,,,1,1
Local Weekday,M154:20260131,M154:20260131,San Jose Diridon,M154,1,,,1,1
Local Weekday,158:20260131,158:20260131,San Jose Diridon,158,1,,,1,1
Local Weekday,166:20260131,166:20260131,San Jose Diridon,166,1,,,1,1
Local Weekday,M170:20260131,M170:20260131,San Jose Diridon,M170,1,,,1,1
Local Weekday,M174:20260131,M174:20260131,San Jose Diridon,M174,1,,,1,1
Local Weekday,174:20260131,174:20260131,San Jose Diridon,174,1,,,1,1
Local Weekday,103:20260131,103:20260131,San Francisco,103,0,,,1,1
Local Weekday,M107:20260131,M107:20260131,San Francisco,M107,0,,,1,1
Local Weekday,M119:20260131,M119:20260131,San Francisco,M119,0,,,1,1
Local Weekday,135:20260131,135:20260131,San Francisco,135,0,,,1,1
Local Weekday,M135:20260131,M135:20260131,San Francisco,M135,0,,,1,1
Local Weekday,139:20260131,139:20260131,San Francisco,139,0,,,1,1
Local Weekday,151:20260131,151:20260131,San Francisco,151,0,,,1,1
Local Weekday,M151:20260131,M151:20260131,San Francisco,M151,0,,,1,1
Local Weekday,155:20260131,155:20260131,San Francisco,155,0,,,1,1
Local Weekday,M155:20260131,M155:20260131,San Francisco,M155,0,,,1,1
Local Weekday,M163:20260131,M163:20260131,San Francisco,M163,0,,,1,1
Local Weekday,171:20260131,171:20260131,San Francisco,171,0,,,1,1
Local Weekend,608:20260131,608:20260131,San Jose Diridon,608,1,,,1,1
Local Weekend,640:20260131,640:20260131,San Jose Diridon,640,1,,,1,1
Local Weekend,648:20260131,648:20260131,San Jose Diridon,648,1,,,1,1
Local Weekend,607:20260131,607:20260131,San Francisco,607,0,,,1,1
Local Weekend,643:20260131,643:20260131,San Francisco,643,0,,,1,1
Local Weekend,609:20260131,609:20260131,San Francisco,609,0,,,1,1
Local Weekend,625:20260131,625:20260131,San Francisco,625,0,,,1,1
Local Weekend,629:20260131,629:20260131,San Francisco,629,0,,,1,1
Local Weekend,641:20260131,641:20260131,San Francisco,641,0,,,1,1
Local Weekend,657:20260131,657:20260131,San Francisco,657,0,,,1,1
Local Weekend,614:20260131,614:20260131,Tamien,614,1,,,1,1
Local Weekend,630:20260131,630:20260131,Tamien,630,1,,,1,1
Local Weekend,658:20260131,658:20260131,Tamien,658,1,,,1,1
Local Weekend,662:20260131,662:20260131,Tamien,662,1,,,1,1
Express,514:20260131,514:20260131,San Jose Diridon,514,1,,,1,1
Express,507:20260131,507:20260131,San Francisco,507,0,,,1,1
Limited,409:20260131,409:20260131,San Francisco,409,0,,,1,1
Limited,413:20260131,413:20260131,San Francisco,413,0,,,1,1
Limited,421:20260131,421:20260131,San Francisco,421,0,,,1,1
Limited,404:20260131,404:20260131,San Jose Diridon,404,1,,,1,1
Limited,424:20260131,424:20260131,San Jose Diridon,424,1,,,1,1
South County,848:20260131,848:20260131,Gilroy,848,1,,,1,1
South County,811:20260131,811:20260131,San Jose Diridon,811,0,,,1,1
Local Weekday,M143:20260131,M143:20260131,San Francisco,M143,0,,,1,1
Local Weekday,121:20260131,121:20260131,San Francisco,121,0,,,1,1
Local Weekday,M141:20260131,M141:20260131,San Francisco,M141,0,,,1,1
Local Weekday,153:20260131,153:20260131,San Francisco,153,0,,,1,1
Local Weekday,M165:20260131,M165:20260131,San Francisco,M165,0,,,1,1
Local Weekday,165:20260131,165:20260131,San Francisco,165,0,,,1,1
Local Weekday,104:20260131,104:20260131,Tamien,104,1,,,1,1
Local Weekday,112:20260131,112:20260131,Tamien,112,1,,,1,1
Local Weekday,116:20260131,116:20260131,Tamien,116,1,,,1,1
Local Weekday,144:20260131,144:20260131,Tamien,144,1,,,1,1
Local Weekday,152:20260131,152:20260131,Tamien,152,1,,,1,1
Local Weekday,164:20260131,164:20260131,Tamien,164,1,,,1,1
Local Weekday,M113:20260131,M113:20260131,San Francisco,M113,0,,,1,1
Local Weekday,M122:20260131,M122:20260131,San Jose Diridon,M122,1,,,1,1
Local Weekday,126:20260131,126:20260131,San Jose Diridon,126,1,,,1,1
Local Weekday,134:20260131,134:20260131,San Jose Diridon,134,1,,,1,1
Local Weekday,M138:20260131,M138:20260131,San Jose Diridon,M138,1,,,1,1
Local Weekday,142:20260131,142:20260131,San Jose Diridon,142,1,,,1,1
Local Weekday,M162:20260131,M162:20260131,San Jose Diridon,M162,1,,,1,1
Local Weekday,M166:20260131,M166:20260131,San Jose Diridon,M166,1,,,1,1
Local Weekday,131:20260131,131:20260131,San Francisco,131,0,,,1,1
Local Weekday,147:20260131,147:20260131,San Francisco,147,0,,,1,1
Local Weekday,M171:20260131,M171:20260131,San Francisco,M171,0,,,1,1
Local Weekend,604:20260131,604:20260131,San Jose Diridon,604,1,,,1,1
Local Weekend,624:20260131,624:20260131,San Jose Diridon,624,1,,,1,1
Local Weekend,628:20260131,628:20260131,San Jose Diridon,628,1,,,1,1
Local Weekend,652:20260131,652:20260131,San Jose Diridon,652,1,,,1,1
Local Weekend,664:20260131,664:20260131,San Jose Diridon,664,1,,,1,1
Local Weekend,615:20260131,615:20260131,San Francisco,615,0,,,1,1
Local Weekend,623:20260131,623:20260131,San Francisco,623,0,,,1,1
Local Weekend,651:20260131,651:20260131,San Francisco,651,0,,,1,1
Local Weekend,655:20260131,655:20260131,San Francisco,655,0,,,1,1
Local Weekend,663:20260131,663:20260131,San Francisco,663,0,,,1,1
Local Weekend,605:20260131,605:20260131,San Francisco,605,0,,,1,1
Local Weekend,637:20260131,637:20260131,San Francisco,637,0,,,1,1
Local Weekend,661:20260131,661:20260131,San Francisco,661,0,,,1,1
Local Weekend,606:20260131,606:20260131,Tamien,606,1,,,1,1
Local Weekend,642:20260131,642:20260131,Tamien,642,1,,,1,1
Local Weekend,650:20260131,650:20260131,Tamien,650,1,,,1,1
Local Weekend,668:20260131,668:20260131,Tamien,668,1,,,1,1
Express,506:20260131,506:20260131,San Jose Diridon,506,1,,,1,1
Express,510:20260131,510:20260131,San Jose Diridon,510,1,,,1,1
Limited,425:20260131,425:20260131,San Francisco,425,0,,,1,1
Limited,416:20260131,416:20260131,San Jose Diridon,416,1,,,1,1
Limited,428:20260131,428:20260131,San Jose Diridon,428,1,,,1,1
South County,816:20260131,816:20260131,Gilroy,816,1,,,1,1
South County,819:20260131,819:20260131,San Jose Diridon,819,0,,,1,1
Local Weekday,143:20260131,143:20260131,San Francisco,143,0,,,1,1
Local Weekday,105:20260131,105:20260131,San Francisco,105,0,,,1,1
Local Weekday,M109:20260131,M109:20260131,San Francisco,M109,0,,,1,1
Local Weekday,109:20260131,109:20260131,San Francisco,109,0,,,1,1
Local Weekday,117:20260131,117:20260131,San Francisco,117,0,,,1,1
Local Weekday,125:20260131,125:20260131,San Francisco,125,0,,,1,1
Local Weekday,129:20260131,129:20260131,San Francisco,129,0,,,1,1
Local Weekday,M157:20260131,M157:20260131,San Francisco,M157,0,,,1,1
Local Weekday,M169:20260131,M169:20260131,San Francisco,M169,0,,,1,1
Local Weekday,M104:20260131,M104:20260131,Tamien,M104,1,,,1,1
Local Weekday,M116:20260131,M116:20260131,Tamien,M116,1,,,1,1
Local Weekday,128:20260131,128:20260131,Tamien,128,1,,,1,1
Local Weekday,148:20260131,148:20260131,Tamien,148,1,,,1,1
Local Weekday,M152:20260131,M152:20260131,Tamien,M152,1,,,1,1
Local Weekday,M156:20260131,M156:20260131,Tamien,M156,1,,,1,1
Local Weekday,156:20260131,156:20260131,Tamien,156,1,,,1,1
Local Weekday,M172:20260131,M172:20260131,Tamien,M172,1,,,1,1
Local Weekday,172:20260131,172:20260131,Tamien,172,1,,,1,1
Local Weekday,M176:20260131,M176:20260131,Tamien,M176,1,,,1,1
Local Weekday,M108:20260131,M108:20260131,Tamien,M108,1,,,1,1
Local Weekday,140:20260131,140:20260131,Tamien,140,1,,,1,1
Local Weekday,102:20260131,102:20260131,San Jose Diridon,102,1,,,1,1
Local Weekday,M110:20260131,M110:20260131,San Jose Diridon,M110,1,,,1,1
Local Weekday,M118:20260131,M118:20260131,San Jose Diridon,M118,1,,,1,1
Local Weekday,150:20260131,150:20260131,San Jose Diridon,150,1,,,1,1
Local Weekday,170:20260131,170:20260131,San Jose Diridon,170,1,,,1,1
Local Weekday,107:20260131,107:20260131,San Francisco,107,0,,,1,1
Local Weekday,111:20260131,111:20260131,San Francisco,111,0,,,1,1
Local Weekday,M123:20260131,M123:20260131,San Francisco,M123,0,,,1,1
Local Weekday,127:20260131,127:20260131,San Francisco,127,0,,,1,1
Local Weekday,M159:20260131,M159:20260131,San Francisco,M159,0,,,1,1
Local Weekday,M167:20260131,M167:20260131,San Francisco,M167,0,,,1,1
Local Weekday,167:20260131,167:20260131,San Francisco,167,0,,,1,1
Local Weekend,632:20260131,632:20260131,San Jose Diridon,632,1,,,1,1
Local Weekend,636:20260131,636:20260131,San Jose Diridon,636,1,,,1,1
Local Weekend,644:20260131,644:20260131,San Jose Diridon,644,1,,,1,1
Local Weekend,660:20260131,660:20260131,San Jose Diridon,660,1,,,1,1
Local Weekend,621:20260131,621:20260131,San Francisco,621,0,,,1,1
Local Weekend,645:20260131,645:20260131,San Francisco,645,0,,,1,1
Local Weekend,665:20260131,665:20260131,San Francisco,665,0,,,1,1
Local Weekend,602:20260131,602:20260131,Tamien,602,1,,,1,1
Express,515:20260131,515:20260131,San Francisco,515,0,,,1,1
Express,519:20260131,519:20260131,San Francisco,519,0,,,1,1
Limited,429:20260131,429:20260131,San Francisco,429,0,,,1,1
Limited,420:20260131,420:20260131,San Jose Diridon,420,1,,,1,1
Local Weekday,133:20260131,133:20260131,San Francisco,133,0,,,1,1
Local Weekday,M137:20260131,M137:20260131,San Francisco,M137,0,,,1,1
Local Weekday,149:20260131,149:20260131,San Francisco,149,0,,,1,1
Local Weekday,161:20260131,161:20260131,San Francisco,161,0,,,1,1
Local Weekday,173:20260131,173:20260131,San Francisco,173,0,,,1,1
