service_id,date,exception_type
M142:20260131,20260131,2
625:20260131,20260131,1
840:20260131,20260131,2
630:20260131,20260131,1
M108:20260131,20260131,2
616:20260131,20260131,1
661:20260131,20260131,1
M104:20260131,20260131,2
622:20260131,20260131,1
M154:20260131,20260131,2
502:20260131,20260131,2
143:20260131,20260131,2
664:20260131,20260131,1
526:20260131,20260131,2
127:20260131,20260131,2
152:20260131,20260131,2
103:20260131,20260131,2
626:20260131,20260131,1
413:20260131,20260131,2
114:20260131,20260131,2
142:20260131,20260131,2
634:20260131,20260131,1
122:20260131,20260131,2
623:20260131,20260131,1
M103:20260131,20260131,2
601:20260131,20260131,1
519:20260131,20260131,2
613:20260131,20260131,1
642:20260131,20260131,1
M117:20260131,20260131,2
M165:20260131,20260131,2
166:20260131,20260131,2
611:20260131,20260131,1
848:20260131,20260131,2
M127:20260131,20260131,2
M163:20260131,20260131,2
M126:20260131,20260131,2
647:20260131,20260131,1
M119:20260131,20260131,2
M137:20260131,20260131,2
603:20260131,20260131,1
649:20260131,20260131,1
629:20260131,20260131,1
104:20260131,20260131,2
161:20260131,20260131,2
M167:20260131,20260131,2
655:20260131,20260131,1
174:20260131,20260131,2
M129:20260131,20260131,2
M146:20260131,20260131,2
M109:20260131,20260131,2
129:20260131,20260131,2
643:20260131,20260131,1
M174:20260131,20260131,2
514:20260131,20260131,2
157:20260131,20260131,2
M151:20260131,20260131,2
M120:20260131,20260131,2
167:20260131,20260131,2
M164:20260131,20260131,2
M125:20260131,20260131,2
162:20260131,20260131,2
617:20260131,20260131,1
163:20260131,20260131,2
113:20260131,20260131,2
111:20260131,20260131,2
M102:20260131,20260131,2
171:20260131,20260131,2
421:20260131,20260131,2
M106:20260131,20260131,2
154:20260131,20260131,2
606:20260131,20260131,1
645:20260131,20260131,1
503:20260131,20260131,2
110:20260131,20260131,2
130:20260131,20260131,2
819:20260131,20260131,2
656:20260131,20260131,1
M173:20260131,20260131,2
M111:20260131,20260131,2
M130:20260131,20260131,2
M124:20260131,20260131,2
408:20260131,20260131,2
M160:20260131,20260131,2
628:20260131,20260131,1
M172:20260131,20260131,2
M145:20260131,20260131,2
650:20260131,20260131,1
116:20260131,20260131,2
164:20260131,20260131,2
112:20260131,20260131,2
M148:20260131,20260131,2
126:20260131,20260131,2
527:20260131,20260131,2
M138:20260131,20260131,2
155:20260131,20260131,2
133:20260131,20260131,2
621:20260131,20260131,1
618:20260131,20260131,1
M155:20260131,20260131,2
149:20260131,20260131,2
663:20260131,20260131,1
M141:20260131,20260131,2
646:20260131,20260131,1
106:20260131,20260131,2
159:20260131,20260131,2
M123:20260131,20260131,2
M115:20260131,20260131,2
136:20260131,20260131,2
619:20260131,20260131,1
M110:20260131,20260131,2
123:20260131,20260131,2
404:20260131,20260131,2
115:20260131,20260131,2
139:20260131,20260131,2
809:20260131,20260131,2
614:20260131,20260131,1
632:20260131,20260131,1
638:20260131,20260131,1
M136:20260131,20260131,2
M128:20260131,20260131,2
176:20260131,20260131,2
137:20260131,20260131,2
660:20260131,20260131,1
620:20260131,20260131,1
M133:20260131,20260131,2
M118:20260131,20260131,2
665:20260131,20260131,1
173:20260131,20260131,2
807:20260131,20260131,2
M159:20260131,20260131,2
M121:20260131,20260131,2
134:20260131,20260131,2
M144:20260131,20260131,2
145:20260131,20260131,2
101:20260131,20260131,2
633:20260131,20260131,1
125:20260131,20260131,2
523:20260131,20260131,2
658:20260131,20260131,1
M134:20260131,20260131,2
507:20260131,20260131,2
604:20260131,20260131,1
612:20260131,20260131,1
M135:20260131,20260131,2
119:20260131,20260131,2
409:20260131,20260131,2
816:20260131,20260131,2
M113:20260131,20260131,2
M150:20260131,20260131,2
654:20260131,20260131,1
M158:20260131,20260131,2
M147:20260131,20260131,2
822:20260131,20260131,2
M105:20260131,20260131,2
425:20260131,20260131,2
405:20260131,20260131,2
652:20260131,20260131,1
169:20260131,20260131,2
M161:20260131,20260131,2
506:20260131,20260131,2
135:20260131,20260131,2
401:20260131,20260131,2
144:20260131,20260131,2
148:20260131,20260131,2
M168:20260131,20260131,2
168:20260131,20260131,2
610:20260131,20260131,1
428:20260131,20260131,2
627:20260131,20260131,1
657:20260131,20260131,1
416:20260131,20260131,2
M131:20260131,20260131,2
M162:20260131,20260131,2
636:20260131,20260131,1
420:20260131,20260131,2
153:20260131,20260131,2
M116:20260131,20260131,2
811:20260131,20260131,2
M169:20260131,20260131,2
M156:20260131,20260131,2
607:20260131,20260131,1
117:20260131,20260131,2
631:20260131,20260131,1
M139:20260131,20260131,2
M170:20260131,20260131,2
M143:20260131,20260131,2
825:20260131,20260131,2
147:20260131,20260131,2
M152:20260131,20260131,2
515:20260131,20260131,2
641:20260131,20260131,1
151:20260131,20260131,2
M140:20260131,20260131,2
150:20260131,20260131,2
M153:20260131,20260131,2
639:20260131,20260131,1
615:20260131,20260131,1
131:20260131,20260131,2
141:20260131,20260131,2
805:20260131,20260131,2
653:20260131,20260131,1
602:20260131,20260131,1
417:20260131,20260131,2
644:20260131,20260131,1
M176:20260131,20260131,2
M101:20260131,20260131,2
M171:20260131,20260131,2
102:20260131,20260131,2
172:20260131,20260131,2
M157:20260131,20260131,2
635:20260131,20260131,1
121:20260131,20260131,2
608:20260131,20260131,1
624:20260131,20260131,1
424:20260131,20260131,2
518:20260131,20260131,2
107:20260131,20260131,2
511:20260131,20260131,2
105:20260131,20260131,2
120:20260131,20260131,2
140:20260131,20260131,2
522:20260131,20260131,2
668:20260131,20260131,1
609:20260131,20260131,1
429:20260131,20260131,2
637:20260131,20260131,1
165:20260131,20260131,2
412:20260131,20260131,2
124:20260131,20260131,2
662:20260131,20260131,1
158:20260131,20260131,2
M114:20260131,20260131,2
170:20260131,20260131,2
118:20260131,20260131,2
160:20260131,20260131,2
510:20260131,20260131,2
605:20260131,20260131,1
M166:20260131,20260131,2
814:20260131,20260131,2
M112:20260131,20260131,2
820:20260131,20260131,2
146:20260131,20260131,2
M149:20260131,20260131,2
108:20260131,20260131,2
M122:20260131,20260131,2
640:20260131,20260131,1
109:20260131,20260131,2
138:20260131,20260131,2
132:20260131,20260131,2
156:20260131,20260131,2
659:20260131,20260131,1
648:20260131,20260131,1
M107:20260131,20260131,2
M132:20260131,20260131,2
651:20260131,20260131,1
128:20260131,20260131,2
502:20260130,20260130,1
657:20260130,20260130,2
M126:20260130,20260130,2
M118:20260130,20260130,2
405:20260130,20260130,1
519:20260130,20260130,1
M105:20260130,20260130,2
M114:20260130,20260130,2
116:20260130,20260130,1
603:20260130,20260130,2
119:20260130,20260130,1
M133:20260130,20260130,2
M140:20260130,20260130,2
626:20260130,20260130,2
M162:20260130,20260130,2
173:20260130,20260130,1
819:20260130,20260130,2
176:20260130,20260130,1
647:20260130,20260130,2
M152:20260130,20260130,2
106:20260130,20260130,1
664:20260130,20260130,2
151:20260130,20260130,1
515:20260130,20260130,1
M155:20260130,20260130,2
M136:20260130,20260130,2
646:20260130,20260130,2
147:20260130,20260130,1
627:20260130,20260130,2
M108:20260130,20260130,2
M107:20260130,20260130,2
807:20260130,20260130,1
656:20260130,20260130,2
M104:20260130,20260130,2
M137:20260130,20260130,2
M176:20260130,20260130,2
518:20260130,20260130,1
M123:20260130,20260130,2
M103:20260130,20260130,2
174:20260130,20260130,1
161:20260130,20260130,1
148:20260130,20260130,1
420:20260130,20260130,1
652:20260130,20260130,2
633:20260130,20260130,2
163:20260130,20260130,1
617:20260130,20260130,2
527:20260130,20260130,1
164:20260130,20260130,1
409:20260130,20260130,1
M171:20260130,20260130,2
610:20260130,20260130,2
132:20260130,20260130,1
134:20260130,20260130,1
M138:20260130,20260130,2
619:20260130,20260130,2
417:20260130,20260130,1
112:20260130,20260130,1
157:20260130,20260130,1
138:20260130,20260130,1
M102:20260130,20260130,2
805:20260130,20260130,1
129:20260130,20260130,1
130:20260130,20260130,1
668:20260130,20260130,2
136:20260130,20260130,1
154:20260130,20260130,1
M172:20260130,20260130,2
624:20260130,20260130,2
820:20260130,20260130,1
M167:20260130,20260130,2
141:20260130,20260130,1
M154:20260130,20260130,2
166:20260130,20260130,1
840:20260130,20260130,2
611:20260130,20260130,2
M113:20260130,20260130,2
M149:20260130,20260130,2
M109:20260130,20260130,2
143:20260130,20260130,1
167:20260130,20260130,1
M165:20260130,20260130,2
M122:20260130,20260130,2
607:20260130,20260130,2
M106:20260130,20260130,2
M163:20260130,20260130,2
113:20260130,20260130,1
639:20260130,20260130,2
M117:20260130,20260130,2
M151:20260130,20260130,2
661:20260130,20260130,2
146:20260130,20260130,1
M166:20260130,20260130,2
429:20260130,20260130,1
M170:20260130,20260130,2
643:20260130,20260130,2
M111:20260130,20260130,2
604:20260130,20260130,2
124:20260130,20260130,1
153:20260130,20260130,1
634:20260130,20260130,2
159:20260130,20260130,1
809:20260130,20260130,1
M116:20260130,20260130,2
109:20260130,20260130,1
144:20260130,20260130,1
526:20260130,20260130,1
642:20260130,20260130,2
602:20260130,20260130,2
618:20260130,20260130,2
425:20260130,20260130,1
416:20260130,20260130,1
137:20260130,20260130,1
M119:20260130,20260130,2
663:20260130,20260130,2
M158:20260130,20260130,2
127:20260130,20260130,1
131:20260130,20260130,1
152:20260130,20260130,1
408:20260130,20260130,1
M139:20260130,20260130,2
150:20260130,20260130,1
M112:20260130,20260130,2
M164:20260130,20260130,2
162:20260130,20260130,1
648:20260130,20260130,2
522:20260130,20260130,1
M169:20260130,20260130,2
104:20260130,20260130,1
M129:20260130,20260130,2
614:20260130,20260130,2
171:20260130,20260130,1
142:20260130,20260130,1
654:20260130,20260130,2
401:20260130,20260130,1
M150:20260130,20260130,2
140:20260130,20260130,1
644:20260130,20260130,2
638:20260130,20260130,2
413:20260130,20260130,1
M128:20260130,20260130,2
160:20260130,20260130,1
123:20260130,20260130,1
M115:20260130,20260130,2
M174:20260130,20260130,2
848:20260130,20260130,2
631:20260130,20260130,2
662:20260130,20260130,2
625:20260130,20260130,2
128:20260130,20260130,1
M153:20260130,20260130,2
135:20260130,20260130,1
822:20260130,20260130,1
511:20260130,20260130,1
655:20260130,20260130,2
117:20260130,20260130,1
640:20260130,20260130,2
M131:20260130,20260130,2
514:20260130,20260130,1
630:20260130,20260130,2
814:20260130,20260130,1
649:20260130,20260130,2
651:20260130,20260130,2
811:20260130,20260130,1
503:20260130,20260130,1
156:20260130,20260130,1
421:20260130,20260130,1
126:20260130,20260130,1
M168:20260130,20260130,2
404:20260130,20260130,1
507:20260130,20260130,1
637:20260130,20260130,2
M110:20260130,20260130,2
650:20260130,20260130,2
615:20260130,20260130,2
M156:20260130,20260130,2
628:20260130,20260130,2
M142:20260130,20260130,2
M125:20260130,20260130,2
620:20260130,20260130,2
145:20260130,20260130,1
155:20260130,20260130,1
M121:20260130,20260130,2
622:20260130,20260130,2
122:20260130,20260130,1
M101:20260130,20260130,2
M141:20260130,20260130,2
506:20260130,20260130,1
816:20260130,20260130,1
825:20260130,20260130,2
M127:20260130,20260130,2
103:20260130,20260130,1
149:20260130,20260130,1
M145:20260130,20260130,2
428:20260130,20260130,1
660:20260130,20260130,2
M130:20260130,20260130,2
169:20260130,20260130,1
510:20260130,20260130,1
606:20260130,20260130,2
110:20260130,20260130,1
M135:20260130,20260130,2
M134:20260130,20260130,2
M144:20260130,20260130,2
613:20260130,20260130,2
M157:20260130,20260130,2
605:20260130,20260130,2
653:20260130,20260130,2
125:20260130,20260130,1
114:20260130,20260130,1
133:20260130,20260130,1
636:20260130,20260130,2
658:20260130,20260130,2
412:20260130,20260130,1
118:20260130,20260130,1
608:20260130,20260130,2
632:20260130,20260130,2
M161:20260130,20260130,2
645:20260130,20260130,2
424:20260130,20260130,1
120:20260130,20260130,1
M143:20260130,20260130,2
616:20260130,20260130,2
172:20260130,20260130,1
107:20260130,20260130,1
M160:20260130,20260130,2
170:20260130,20260130,1
108:20260130,20260130,1
609:20260130,20260130,2
665:20260130,20260130,2
629:20260130,20260130,2
M146:20260130,20260130,2
M132:20260130,20260130,2
165:20260130,20260130,1
115:20260130,20260130,1
M147:20260130,20260130,2
523:20260130,20260130,1
M173:20260130,20260130,2
641:20260130,20260130,2
623:20260130,20260130,2
M159:20260130,20260130,2
612:20260130,20260130,2
621:20260130,20260130,2
102:20260130,20260130,1
601:20260130,20260130,2
105:20260130,20260130,1
139:20260130,20260130,1
M124:20260130,20260130,2
121:20260130,20260130,1
659:20260130,20260130,2
168:20260130,20260130,1
M148:20260130,20260130,2
635:20260130,20260130,2
158:20260130,20260130,1
111:20260130,20260130,1
101:20260130,20260130,1
M120:20260130,20260130,2
M116:20260130,20260129,2
603:20260130,20260129,2
154:20260130,20260129,1
121:20260130,20260129,1
