service_id,date,exception_type
657:20260731,20260731,2
110:20260731,20260731,1
M149:20260731,20260731,2
153:20260731,20260731,1
417:20260731,20260731,1
634:20260731,20260731,2
139:20260731,20260731,1
624:20260731,20260731,2
645:20260731,20260731,2
160:20260731,20260731,1
633:20260731,20260731,2
M101:20260731,20260731,2
M137:20260731,20260731,2
M158:20260731,20260731,2
122:20260731,20260731,1
151:20260731,20260731,1
605:20260731,20260731,2
M153:20260731,20260731,2
616:20260731,20260731,2
128:20260731,20260731,1
506:20260731,20260731,1
120:20260731,20260731,1
M114:20260731,20260731,2
606:20260731,20260731,2
M136:20260731,20260731,2
429:20260731,20260731,1
642:20260731,20260731,2
M138:20260731,20260731,2
617:20260731,20260731,2
652:20260731,20260731,2
428:20260731,20260731,1
650:20260731,20260731,2
M132:20260731,20260731,2
M162:20260731,20260731,2
164:20260731,20260731,1
511:20260731,20260731,1
M159:20260731,20260731,2
130:20260731,20260731,1
M134:20260731,20260731,2
159:20260731,20260731,1
149:20260731,20260731,1
M125:20260731,20260731,2
M161:20260731,20260731,2
668:20260731,20260731,2
M117:20260731,20260731,2
601:20260731,20260731,2
165:20260731,20260731,1
811:20260731,20260731,1
903:20260731,20260731,2
819:20260731,20260731,2
M145:20260731,20260731,2
628:20260731,20260731,2
162:20260731,20260731,1
138:20260731,20260731,1
519:20260731,20260731,1
M143:20260731,20260731,2
M176:20260731,20260731,2
M123:20260731,20260731,2
526:20260731,20260731,1
615:20260731,20260731,2
M157:20260731,20260731,2
626:20260731,20260731,2
518:20260731,20260731,1
M116:20260731,20260731,2
412:20260731,20260731,1
170:20260731,20260731,1
167:20260731,20260731,1
621:20260731,20260731,2
M102:20260731,20260731,2
658:20260731,20260731,2
M129:20260731,20260731,2
113:20260731,20260731,1
156:20260731,20260731,1
659:20260731,20260731,2
132:20260731,20260731,1
111:20260731,20260731,1
146:20260731,20260731,1
155:20260731,20260731,1
655:20260731,20260731,2
176:20260731,20260731,1
421:20260731,20260731,1
825:20260731,20260731,2
M154:20260731,20260731,2
611:20260731,20260731,2
116:20260731,20260731,1
133:20260731,20260731,1
M106:20260731,20260731,2
144:20260731,20260731,1
M173:20260731,20260731,2
104:20260731,20260731,1
M172:20260731,20260731,2
609:20260731,20260731,2
M174:20260731,20260731,2
M155:20260731,20260731,2
408:20260731,20260731,1
409:20260731,20260731,1
M152:20260731,20260731,2
822:20260731,20260731,1
112:20260731,20260731,1
651:20260731,20260731,2
M112:20260731,20260731,2
527:20260731,20260731,1
101:20260731,20260731,1
820:20260731,20260731,1
124:20260731,20260731,1
M150:20260731,20260731,2
805:20260731,20260731,1
M126:20260731,20260731,2
M165:20260731,20260731,2
848:20260731,20260731,2
136:20260731,20260731,1
M167:20260731,20260731,2
M108:20260731,20260731,2
166:20260731,20260731,1
644:20260731,20260731,2
171:20260731,20260731,1
145:20260731,20260731,1
106:20260731,20260731,1
625:20260731,20260731,2
M156:20260731,20260731,2
654:20260731,20260731,2
129:20260731,20260731,1
150:20260731,20260731,1
663:20260731,20260731,2
416:20260731,20260731,1
514:20260731,20260731,1
653:20260731,20260731,2
635:20260731,20260731,2
619:20260731,20260731,2
173:20260731,20260731,1
157:20260731,20260731,1
M115:20260731,20260731,2
M170:20260731,20260731,2
M120:20260731,20260731,2
M110:20260731,20260731,2
664:20260731,20260731,2
656:20260731,20260731,2
840:20260731,20260731,2
M121:20260731,20260731,2
649:20260731,20260731,2
M142:20260731,20260731,2
502:20260731,20260731,1
503:20260731,20260731,1
M169:20260731,20260731,2
109:20260731,20260731,1
118:20260731,20260731,1
M118:20260731,20260731,2
647:20260731,20260731,2
661:20260731,20260731,2
147:20260731,20260731,1
142:20260731,20260731,1
152:20260731,20260731,1
607:20260731,20260731,2
M146:20260731,20260731,2
404:20260731,20260731,1
169:20260731,20260731,1
M171:20260731,20260731,2
646:20260731,20260731,2
M111:20260731,20260731,2
636:20260731,20260731,2
638:20260731,20260731,2
M109:20260731,20260731,2
420:20260731,20260731,1
M164:20260731,20260731,2
114:20260731,20260731,1
M168:20260731,20260731,2
M104:20260731,20260731,2
M163:20260731,20260731,2
M135:20260731,20260731,2
M122:20260731,20260731,2
M148:20260731,20260731,2
105:20260731,20260731,1
604:20260731,20260731,2
610:20260731,20260731,2
639:20260731,20260731,2
M144:20260731,20260731,2
163:20260731,20260731,1
620:20260731,20260731,2
103:20260731,20260731,1
905:20260731,20260731,2
108:20260731,20260731,1
M128:20260731,20260731,2
816:20260731,20260731,1
M160:20260731,20260731,2
172:20260731,20260731,1
154:20260731,20260731,1
158:20260731,20260731,1
140:20260731,20260731,1
M166:20260731,20260731,2
602:20260731,20260731,2
126:20260731,20260731,1
M127:20260731,20260731,2
614:20260731,20260731,2
131:20260731,20260731,1
M124:20260731,20260731,2
M103:20260731,20260731,2
M141:20260731,20260731,2
665:20260731,20260731,2
640:20260731,20260731,2
135:20260731,20260731,1
631:20260731,20260731,2
630:20260731,20260731,2
M151:20260731,20260731,2
137:20260731,20260731,1
608:20260731,20260731,2
660:20260731,20260731,2
M147:20260731,20260731,2
M140:20260731,20260731,2
641:20260731,20260731,2
627:20260731,20260731,2
123:20260731,20260731,1
174:20260731,20260731,1
629:20260731,20260731,2
618:20260731,20260731,2
637:20260731,20260731,2
507:20260731,20260731,1
510:20260731,20260731,1
814:20260731,20260731,1
613:20260731,20260731,2
M133:20260731,20260731,2
901:20260731,20260731,2
662:20260731,20260731,2
809:20260731,20260731,1
M139:20260731,20260731,2
161:20260731,20260731,1
127:20260731,20260731,1
M107:20260731,20260731,2
141:20260731,20260731,1
515:20260731,20260731,1
643:20260731,20260731,2
M105:20260731,20260731,2
807:20260731,20260731,1
623:20260731,20260731,2
102:20260731,20260731,1
121:20260731,20260731,1
523:20260731,20260731,1
107:20260731,20260731,1
M113:20260731,20260731,2
125:20260731,20260731,1
143:20260731,20260731,1
M130:20260731,20260731,2
425:20260731,20260731,1
119:20260731,20260731,1
M119:20260731,20260731,2
401:20260731,20260731,1
612:20260731,20260731,2
148:20260731,20260731,1
424:20260731,20260731,1
522:20260731,20260731,1
117:20260731,20260731,1
632:20260731,20260731,2
115:20260731,20260731,1
M131:20260731,20260731,2
413:20260731,20260731,1
405:20260731,20260731,1
168:20260731,20260731,1
648:20260731,20260731,2
603:20260731,20260731,2
622:20260731,20260731,2
134:20260731,20260731,1
527:20260731,20260730,1
109:20260731,20260730,1
139:20260731,20260730,1
148:20260731,20260730,1
655:20260731,20260730,2
M115:20260731,20260730,2
404:20260731,20260730,1
147:20260731,20260730,1
630:20260731,20260730,2
154:20260731,20260730,1
420:20260731,20260730,1
M173:20260731,20260730,2
136:20260731,20260730,1
M167:20260731,20260730,2
M141:20260731,20260730,2
117:20260731,20260730,1
645:20260731,20260730,2
141:20260731,20260730,1
617:20260731,20260730,2
648:20260731,20260730,2
848:20260731,20260730,2
814:20260731,20260730,1
M174:20260731,20260730,2
133:20260731,20260730,1
170:20260731,20260730,1
M154:20260731,20260730,2
118:20260731,20260730,1
809:20260731,20260730,1
652:20260731,20260730,2
158:20260731,20260730,1
428:20260731,20260730,1
M116:20260731,20260730,2
416:20260731,20260730,1
901:20260731,20260730,2
M149:20260731,20260730,2
M140:20260731,20260730,2
522:20260731,20260730,1
145:20260731,20260730,1
M143:20260731,20260730,2
M119:20260731,20260730,2
M171:20260731,20260730,2
M160:20260731,20260730,2
658:20260731,20260730,2
172:20260731,20260730,1
M120:20260731,20260730,2
M164:20260731,20260730,2
M123:20260731,20260730,2
116:20260731,20260730,1
628:20260731,20260730,2
601:20260731,20260730,2
M114:20260731,20260730,2
602:20260731,20260730,2
515:20260731,20260730,1
651:20260731,20260730,2
M101:20260731,20260730,2
M128:20260731,20260730,2
134:20260731,20260730,1
523:20260731,20260730,1
103:20260731,20260730,1
519:20260731,20260730,1
137:20260731,20260730,1
143:20260731,20260730,1
656:20260731,20260730,2
633:20260731,20260730,2
408:20260731,20260730,1
M152:20260731,20260730,2
M135:20260731,20260730,2
661:20260731,20260730,2
M105:20260731,20260730,2
605:20260731,20260730,2
156:20260731,20260730,1
169:20260731,20260730,1
121:20260731,20260730,1
825:20260731,20260730,2
820:20260731,20260730,1
614:20260731,20260730,2
104:20260731,20260730,1
128:20260731,20260730,1
M158:20260731,20260730,2
643:20260731,20260730,2
129:20260731,20260730,1
612:20260731,20260730,2
668:20260731,20260730,2
623:20260731,20260730,2
M124:20260731,20260730,2
105:20260731,20260730,1
640:20260731,20260730,2
636:20260731,20260730,2
M144:20260731,20260730,2
146:20260731,20260730,1
150:20260731,20260730,1
114:20260731,20260730,1
M102:20260731,20260730,2
M147:20260731,20260730,2
M109:20260731,20260730,2
502:20260731,20260730,1
155:20260731,20260730,1
M138:20260731,20260730,2
M153:20260731,20260730,2
M122:20260731,20260730,2
M170:20260731,20260730,2
101:20260731,20260730,1
659:20260731,20260730,2
126:20260731,20260730,1
M146:20260731,20260730,2
507:20260731,20260730,1
503:20260731,20260730,1
140:20260731,20260730,1
615:20260731,20260730,2
M150:20260731,20260730,2
518:20260731,20260730,1
120:20260731,20260730,1
405:20260731,20260730,1
M166:20260731,20260730,2
159:20260731,20260730,1
138:20260731,20260730,1
164:20260731,20260730,1
641:20260731,20260730,2
M126:20260731,20260730,2
634:20260731,20260730,2
M155:20260731,20260730,2
M121:20260731,20260730,2
650:20260731,20260730,2
M176:20260731,20260730,2
113:20260731,20260730,1
409:20260731,20260730,1
644:20260731,20260730,2
609:20260731,20260730,2
122:20260731,20260730,1
622:20260731,20260730,2
653:20260731,20260730,2
635:20260731,20260730,2
429:20260731,20260730,1
142:20260731,20260730,1
620:20260731,20260730,2
173:20260731,20260730,1
662:20260731,20260730,2
M130:20260731,20260730,2
M163:20260731,20260730,2
M107:20260731,20260730,2
107:20260731,20260730,1
626:20260731,20260730,2
660:20260731,20260730,2
639:20260731,20260730,2
151:20260731,20260730,1
165:20260731,20260730,1
629:20260731,20260730,2
M145:20260731,20260730,2
174:20260731,20260730,1
M159:20260731,20260730,2
167:20260731,20260730,1
M137:20260731,20260730,2
619:20260731,20260730,2
514:20260731,20260730,1
108:20260731,20260730,1
608:20260731,20260730,2
M104:20260731,20260730,2
162:20260731,20260730,1
M157:20260731,20260730,2
