route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
Local Weekday,M139:20260731,M139:20260731,San Francisco,M139,0,,,1,1,,,
Local Weekend,654:20260731,654:20260731,Tamien,654,1,,,1,1,,,
Local Weekday,M143:20260731,M143:20260731,San Francisco,M143,0,,,1,1,,,
Local Weekday,M153:20260731,M153:20260731,San Francisco,M153,0,,,1,1,,,
Local Weekday,161:20260731,161:20260731,San Francisco,161,0,,,1,1,,,
Local Weekday,130:20260731,130:20260731,San Jose Diridon,130,1,,,1,1,,,
Local Weekday,M157:20260731,M157:20260731,San Francisco,M157,0,,,1,1,,,
Local Weekday,156:20260731,156:20260731,Tamien,156,1,,,1,1,,,
Local Weekday,115:20260731,115:20260731,San Francisco,115,0,,,1,1,,,
Local Weekend,611:20260731,611:20260731,San Francisco,611,0,,,1,1,,,
Local Weekday,M124:20260731,M124:20260731,Tamien,M124,1,,,1,1,,,
Local Weekday,128:20260731,128:20260731,Tamien,128,1,,,1,1,,,
Express,506:20260731,506:20260731,San Jose Diridon,506,1,,,1,1,,,
Limited,405:20260731,405:20260731,San Francisco,405,0,,,1,1,,,
Local Weekday,149:20260731,149:20260731,San Francisco,149,0,,,1,1,,,
Local Weekday,154:20260731,154:20260731,San Jose Diridon,154,1,,,1,1,,,
Limited,428:20260731,428:20260731,San Jose Diridon,428,1,,,1,1,,,
South County,848:20260731,848:20260731,Gilroy,848,1,,,1,1,,,
Local Weekday,901:20260731,901:20260731,San Francisco,901,0,,,1,1,,,
Local Weekday,146:20260731,146:20260731,San Jose Diridon,146,1,,,1,1,,,
Local Weekday,M155:20260731,M155:20260731,San Francisco,M155,0,,,1,1,,,
Local Weekend,632:20260731,632:20260731,San Jose Diridon,632,1,,,1,1,,,
Local Weekday,M114:20260731,M114:20260731,San Jose Diridon,M114,1,,,1,1,,,
Local Weekend,614:20260731,614:20260731,Tamien,614,1,,,1,1,,,
Local Weekend,665:20260731,665:20260731,San Francisco,665,0,,,1,1,,,
Local Weekday,133:20260731,133:20260731,San Francisco,133,0,,,1,1,,,
Local Weekday,160:20260731,160:20260731,Tamien,160,1,,,1,1,,,
Local Weekday,123:20260731,123:20260731,San Francisco,123,0,,,1,1,,,
Limited,420:20260731,420:20260731,San Jose Diridon,420,1,,,1,1,,,
South County,814:20260731,814:20260731,Gilroy,814,1,,,1,1,,,
Local Weekday,M122:20260731,M122:20260731,San Jose Diridon,M122,1,,,1,1,,,
Local Weekday,142:20260731,142:20260731,San Jose Diridon,142,1,,,1,1,,,
Local Weekday,139:20260731,139:20260731,San Francisco,139,0,,,1,1,,,
Local Weekday,M149:20260731,M149:20260731,San Francisco,M149,0,,,1,1,,,
Local Weekday,M173:20260731,M173:20260731,San Francisco,M173,0,,,1,1,,,
Express,515:20260731,515:20260731,San Francisco,515,0,,,1,1,,,
Local Weekday,173:20260731,173:20260731,San Francisco,173,0,,,1,1,,,
Local Weekday,M112:20260731,M112:20260731,Tamien,M112,1,,,1,1,,,
Local Weekday,116:20260731,116:20260731,Tamien,116,1,,,1,1,,,
Local Weekday,144:20260731,144:20260731,Tamien,144,1,,,1,1,,,
Local Weekday,168:20260731,168:20260731,Tamien,168,1,,,1,1,,,
Local Weekday,M103:20260731,M103:20260731,San Francisco,M103,0,,,1,1,,,
Local Weekday,147:20260731,147:20260731,San Francisco,147,0,,,1,1,,,
Local Weekend,635:20260731,635:20260731,San Francisco,635,0,,,1,1,,,
Limited,401:20260731,401:20260731,San Francisco,401,0,,,1,1,,,
Local Weekday,114:20260731,114:20260731,San Jose Diridon,114,1,,,1,1,,,
Express,522:20260731,522:20260731,San Jose Diridon,522,1,,,1,1,,,
Local Weekday,121:20260731,121:20260731,San Francisco,121,0,,,1,1,,,
Local Weekday,137:20260731,137:20260731,San Francisco,137,0,,,1,1,,,
Local Weekday,158:20260731,158:20260731,San Jose Diridon,158,1,,,1,1,,,
Local Weekday,166:20260731,166:20260731,San Jose Diridon,166,1,,,1,1,,,
Local Weekday,M174:20260731,M174:20260731,San Jose Diridon,M174,1,,,1,1,,,
Local Weekend,628:20260731,628:20260731,San Jose Diridon,628,1,,,1,1,,,
Local Weekday,M170:20260731,M170:20260731,San Jose Diridon,M170,1,,,1,1,,,
Local Weekend,622:20260731,622:20260731,Tamien,622,1,,,1,1,,,
Limited,429:20260731,429:20260731,San Francisco,429,0,,,1,1,,,
Local Weekday,M150:20260731,M150:20260731,San Jose Diridon,M150,1,,,1,1,,,
Local Weekend,605:20260731,605:20260731,San Francisco,605,0,,,1,1,,,
Limited,417:20260731,417:20260731,San Francisco,417,0,,,1,1,,,
Local Weekday,M158:20260731,M158:20260731,San Jose Diridon,M158,1,,,1,1,,,
Local Weekend,608:20260731,608:20260731,San Jose Diridon,608,1,,,1,1,,,
Limited,408:20260731,408:20260731,San Jose Diridon,408,1,,,1,1,,,
Local Weekday,104:20260731,104:20260731,Tamien,104,1,,,1,1,,,
Local Weekday,M140:20260731,M140:20260731,Tamien,M140,1,,,1,1,,,
Local Weekday,M123:20260731,M123:20260731,San Francisco,M123,0,,,1,1,,,
Local Weekend,662:20260731,662:20260731,Tamien,662,1,,,1,1,,,
Local Weekday,127:20260731,127:20260731,San Francisco,127,0,,,1,1,,,
Local Weekday,M167:20260731,M167:20260731,San Francisco,M167,0,,,1,1,,,
Local Weekend,658:20260731,658:20260731,Tamien,658,1,,,1,1,,,
Local Weekday,117:20260731,117:20260731,San Francisco,117,0,,,1,1,,,
Local Weekday,122:20260731,122:20260731,San Jose Diridon,122,1,,,1,1,,,
Local Weekend,625:20260731,625:20260731,San Francisco,625,0,,,1,1,,,
Local Weekday,M105:20260731,M105:20260731,San Francisco,M105,0,,,1,1,,,
South County,809:20260731,809:20260731,San Jose Diridon,809,0,,,1,1,,,
Local Weekend,660:20260731,660:20260731,San Jose Diridon,660,1,,,1,1,,,
Local Weekday,M156:20260731,M156:20260731,Tamien,M156,1,,,1,1,,,
Express,527:20260731,527:20260731,San Francisco,527,0,,,1,1,,,
Local Weekday,145:20260731,145:20260731,San Francisco,145,0,,,1,1,,,
Local Weekday,M134:20260731,M134:20260731,San Jose Diridon,M134,1,,,1,1,,,
Local Weekday,M111:20260731,M111:20260731,San Francisco,M111,0,,,1,1,,,
Local Weekend,609:20260731,609:20260731,San Francisco,609,0,,,1,1,,,
Limited,425:20260731,425:20260731,San Francisco,425,0,,,1,1,,,
South County,807:20260731,807:20260731,San Jose Diridon,807,0,,,1,1,,,
Local Weekday,M129:20260731,M129:20260731,San Francisco,M129,0,,,1,1,,,
Local Weekday,152:20260731,152:20260731,Tamien,152,1,,,1,1,,,
Local Weekday,M154:20260731,M154:20260731,San Jose Diridon,M154,1,,,1,1,,,
Local Weekend,638:20260731,638:20260731,Tamien,638,1,,,1,1,,,
Local Weekend,648:20260731,648:20260731,San Jose Diridon,648,1,,,1,1,,,
Local Weekday,103:20260731,103:20260731,San Francisco,103,0,,,1,1,,,
Local Weekday,155:20260731,155:20260731,San Francisco,155,0,,,1,1,,,
Local Weekday,107:20260731,107:20260731,San Francisco,107,0,,,1,1,,,
Local Weekend,604:20260731,604:20260731,San Jose Diridon,604,1,,,1,1,,,
Express,507:20260731,507:20260731,San Francisco,507,0,,,1,1,,,
Local Weekday,M169:20260731,M169:20260731,San Francisco,M169,0,,,1,1,,,
Local Weekday,M138:20260731,M138:20260731,San Jose Diridon,M138,1,,,1,1,,,
Local Weekday,M130:20260731,M130:20260731,San Jose Diridon,M130,1,,,1,1,,,
Local Weekday,174:20260731,174:20260731,San Jose Diridon,174,1,,,1,1,,,
Local Weekday,M147:20260731,M147:20260731,San Francisco,M147,0,,,1,1,,,
Local Weekday,M104:20260731,M104:20260731,Tamien,M104,1,,,1,1,,,
Local Weekday,M152:20260731,M152:20260731,Tamien,M152,1,,,1,1,,,
Local Weekday,172:20260731,172:20260731,Tamien,172,1,,,1,1,,,
Local Weekday,129:20260731,129:20260731,San Francisco,129,0,,,1,1,,,
Local Weekday,135:20260731,135:20260731,San Francisco,135,0,,,1,1,,,
Express,519:20260731,519:20260731,San Francisco,519,0,,,1,1,,,
Local Weekday,M161:20260731,M161:20260731,San Francisco,M161,0,,,1,1,,,
Local Weekday,M125:20260731,M125:20260731,San Francisco,M125,0,,,1,1,,,
Local Weekday,M120:20260731,M120:20260731,Tamien,M120,1,,,1,1,,,
Local Weekend,607:20260731,607:20260731,San Francisco,607,0,,,1,1,,,
Local Weekday,M146:20260731,M146:20260731,San Jose Diridon,M146,1,,,1,1,,,
Local Weekday,M145:20260731,M145:20260731,San Francisco,M145,0,,,1,1,,,
Local Weekend,668:20260731,668:20260731,Tamien,668,1,,,1,1,,,
Local Weekend,601:20260731,601:20260731,San Francisco,601,0,,,1,1,,,
Local Weekday,148:20260731,148:20260731,Tamien,148,1,,,1,1,,,
Local Weekday,M102:20260731,M102:20260731,San Jose Diridon,M102,1,,,1,1,,,
Limited,409:20260731,409:20260731,San Francisco,409,0,,,1,1,,,
Local Weekday,M115:20260731,M115:20260731,San Francisco,M115,0,,,1,1,,,
Local Weekday,M119:20260731,M119:20260731,San Francisco,M119,0,,,1,1,,,
Local Weekend,613:20260731,613:20260731,San Francisco,613,0,,,1,1,,,
Local Weekday,M109:20260731,M109:20260731,San Francisco,M109,0,,,1,1,,,
Local Weekday,M121:20260731,M121:20260731,San Francisco,M121,0,,,1,1,,,
Local Weekday,M116:20260731,M116:20260731,Tamien,M116,1,,,1,1,,,
Local Weekday,126:20260731,126:20260731,San Jose Diridon,126,1,,,1,1,,,
Local Weekend,612:20260731,612:20260731,San Jose Diridon,612,1,,,1,1,,,
South County,811:20260731,811:20260731,San Jose Diridon,811,0,,,1,1,,,
