route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
South County,825:20260731,825:20260731,San Jose Diridon,825,0,,,1,1,,,
Local Weekend,623:20260731,623:20260731,San Francisco,623,0,,,1,1,,,
Local Weekday,124:20260731,124:20260731,Tamien,124,1,,,1,1,,,
Local Weekend,646:20260731,646:20260731,Tamien,646,1,,,1,1,,,
Express,523:20260731,523:20260731,San Francisco,523,0,,,1,1,,,
Local Weekday,120:20260731,120:20260731,Tamien,120,1,,,1,1,,,
Local Weekday,110:20260731,110:20260731,San Jose Diridon,110,1,,,1,1,,,
Local Weekday,M127:20260731,M127:20260731,San Francisco,M127,0,,,1,1,,,
Local Weekday,159:20260731,159:20260731,San Francisco,159,0,,,1,1,,,
Local Weekend,656:20260731,656:20260731,San Jose Diridon,656,1,,,1,1,,,
Local Weekday,M160:20260731,M160:20260731,Tamien,M160,1,,,1,1,,,
Local Weekday,M108:20260731,M108:20260731,Tamien,M108,1,,,1,1,,,
Local Weekday,M159:20260731,M159:20260731,San Francisco,M159,0,,,1,1,,,
Local Weekend,640:20260731,640:20260731,San Jose Diridon,640,1,,,1,1,,,
Local Weekend,621:20260731,621:20260731,San Francisco,621,0,,,1,1,,,
Local Weekday,M137:20260731,M137:20260731,San Francisco,M137,0,,,1,1,,,
Local Weekend,636:20260731,636:20260731,San Jose Diridon,636,1,,,1,1,,,
Local Weekend,606:20260731,606:20260731,Tamien,606,1,,,1,1,,,
Local Weekend,624:20260731,624:20260731,San Jose Diridon,624,1,,,1,1,,,
Local Weekend,642:20260731,642:20260731,Tamien,642,1,,,1,1,,,
Local Weekend,629:20260731,629:20260731,San Francisco,629,0,,,1,1,,,
Local Weekday,118:20260731,118:20260731,San Jose Diridon,118,1,,,1,1,,,
Local Weekday,163:20260731,163:20260731,San Francisco,163,0,,,1,1,,,
Local Weekend,652:20260731,652:20260731,San Jose Diridon,652,1,,,1,1,,,
Local Weekend,664:20260731,664:20260731,San Jose Diridon,664,1,,,1,1,,,
Limited,404:20260731,404:20260731,San Jose Diridon,404,1,,,1,1,,,
Local Weekday,M117:20260731,M117:20260731,San Francisco,M117,0,,,1,1,,,
Local Weekday,111:20260731,111:20260731,San Francisco,111,0,,,1,1,,,
Local Weekday,131:20260731,131:20260731,San Francisco,131,0,,,1,1,,,
Local Weekend,650:20260731,650:20260731,Tamien,650,1,,,1,1,,,
Local Weekend,620:20260731,620:20260731,San Jose Diridon,620,1,,,1,1,,,
Local Weekday,M176:20260731,M176:20260731,Tamien,M176,1,,,1,1,,,
Local Weekend,627:20260731,627:20260731,San Francisco,627,0,,,1,1,,,
South County,805:20260731,805:20260731,San Jose Diridon,805,0,,,1,1,,,
South County,840:20260731,840:20260731,Gilroy,840,1,,,1,1,,,
Local Weekday,903:20260731,903:20260731,San Francisco,903,0,,,1,1,,,
Local Weekday,M107:20260731,M107:20260731,San Francisco,M107,0,,,1,1,,,
Local Weekday,M131:20260731,M131:20260731,San Francisco,M131,0,,,1,1,,,
Local Weekend,615:20260731,615:20260731,San Francisco,615,0,,,1,1,,,
Local Weekend,655:20260731,655:20260731,San Francisco,655,0,,,1,1,,,
Local Weekend,653:20260731,653:20260731,San Francisco,653,0,,,1,1,,,
Local Weekday,106:20260731,106:20260731,San Jose Diridon,106,1,,,1,1,,,
Local Weekend,637:20260731,637:20260731,San Francisco,637,0,,,1,1,,,
Local Weekend,657:20260731,657:20260731,San Francisco,657,0,,,1,1,,,
South County,820:20260731,820:20260731,Gilroy,820,1,,,1,1,,,
Local Weekday,105:20260731,105:20260731,San Francisco,105,0,,,1,1,,,
Local Weekday,132:20260731,132:20260731,Tamien,132,1,,,1,1,,,
Local Weekday,M151:20260731,M151:20260731,San Francisco,M151,0,,,1,1,,,
Local Weekend,603:20260731,603:20260731,San Francisco,603,0,,,1,1,,,
Express,511:20260731,511:20260731,San Francisco,511,0,,,1,1,,,
Local Weekday,M132:20260731,M132:20260731,Tamien,M132,1,,,1,1,,,
Local Weekday,162:20260731,162:20260731,San Jose Diridon,162,1,,,1,1,,,
Local Weekend,618:20260731,618:20260731,Tamien,618,1,,,1,1,,,
Local Weekend,647:20260731,647:20260731,San Francisco,647,0,,,1,1,,,
Local Weekday,905:20260731,905:20260731,San Francisco,905,0,,,1,1,,,
Local Weekday,M133:20260731,M133:20260731,San Francisco,M133,0,,,1,1,,,
Local Weekday,136:20260731,136:20260731,Tamien,136,1,,,1,1,,,
Local Weekend,633:20260731,633:20260731,San Francisco,633,0,,,1,1,,,
Limited,421:20260731,421:20260731,San Francisco,421,0,,,1,1,,,
Limited,424:20260731,424:20260731,San Jose Diridon,424,1,,,1,1,,,
Local Weekday,M141:20260731,M141:20260731,San Francisco,M141,0,,,1,1,,,
Local Weekday,M142:20260731,M142:20260731,San Jose Diridon,M142,1,,,1,1,,,
Express,518:20260731,518:20260731,San Jose Diridon,518,1,,,1,1,,,
Local Weekday,M135:20260731,M135:20260731,San Francisco,M135,0,,,1,1,,,
Local Weekday,143:20260731,143:20260731,San Francisco,143,0,,,1,1,,,
Local Weekday,170:20260731,170:20260731,San Jose Diridon,170,1,,,1,1,,,
Local Weekend,617:20260731,617:20260731,San Francisco,617,0,,,1,1,,,
Express,526:20260731,526:20260731,San Jose Diridon,526,1,,,1,1,,,
Express,503:20260731,503:20260731,San Francisco,503,0,,,1,1,,,
Local Weekday,M113:20260731,M113:20260731,San Francisco,M113,0,,,1,1,,,
Local Weekday,M162:20260731,M162:20260731,San Jose Diridon,M162,1,,,1,1,,,
Local Weekday,151:20260731,151:20260731,San Francisco,151,0,,,1,1,,,
Local Weekend,659:20260731,659:20260731,San Francisco,659,0,,,1,1,,,
Local Weekday,169:20260731,169:20260731,San Francisco,169,0,,,1,1,,,
Local Weekday,M126:20260731,M126:20260731,San Jose Diridon,M126,1,,,1,1,,,
Local Weekday,150:20260731,150:20260731,San Jose Diridon,150,1,,,1,1,,,
Local Weekend,644:20260731,644:20260731,San Jose Diridon,644,1,,,1,1,,,
Express,514:20260731,514:20260731,San Jose Diridon,514,1,,,1,1,,,
Local Weekday,109:20260731,109:20260731,San Francisco,109,0,,,1,1,,,
Local Weekend,602:20260731,602:20260731,Tamien,602,1,,,1,1,,,
Limited,413:20260731,413:20260731,San Francisco,413,0,,,1,1,,,
South County,816:20260731,816:20260731,Gilroy,816,1,,,1,1,,,
Local Weekend,639:20260731,639:20260731,San Francisco,639,0,,,1,1,,,
Local Weekend,631:20260731,631:20260731,San Francisco,631,0,,,1,1,,,
Local Weekend,643:20260731,643:20260731,San Francisco,643,0,,,1,1,,,
Local Weekday,176:20260731,176:20260731,Tamien,176,1,,,1,1,,,
Local Weekday,M118:20260731,M118:20260731,San Jose Diridon,M118,1,,,1,1,,,
Local Weekday,119:20260731,119:20260731,San Francisco,119,0,,,1,1,,,
Local Weekday,M171:20260731,M171:20260731,San Francisco,M171,0,,,1,1,,,
Local Weekend,661:20260731,661:20260731,San Francisco,661,0,,,1,1,,,
Local Weekday,101:20260731,101:20260731,San Francisco,101,0,,,1,1,,,
Local Weekday,M128:20260731,M128:20260731,Tamien,M128,1,,,1,1,,,
Local Weekday,164:20260731,164:20260731,Tamien,164,1,,,1,1,,,
Local Weekday,M166:20260731,M166:20260731,San Jose Diridon,M166,1,,,1,1,,,
Local Weekend,641:20260731,641:20260731,San Francisco,641,0,,,1,1,,,
Limited,416:20260731,416:20260731,San Jose Diridon,416,1,,,1,1,,,
Local Weekday,M101:20260731,M101:20260731,San Francisco,M101,0,,,1,1,,,
Local Weekday,112:20260731,112:20260731,Tamien,112,1,,,1,1,,,
Local Weekday,167:20260731,167:20260731,San Francisco,167,0,,,1,1,,,
Express,502:20260731,502:20260731,San Jose Diridon,502,1,,,1,1,,,
Local Weekday,M148:20260731,M148:20260731,Tamien,M148,1,,,1,1,,,
Local Weekend,616:20260731,616:20260731,San Jose Diridon,616,1,,,1,1,,,
Local Weekend,649:20260731,649:20260731,San Francisco,649,0,,,1,1,,,
Local Weekend,626:20260731,626:20260731,Tamien,626,1,,,1,1,,,
Local Weekend,630:20260731,630:20260731,Tamien,630,1,,,1,1,,,
Local Weekend,645:20260731,645:20260731,San Francisco,645,0,,,1,1,,,
Local Weekday,134:20260731,134:20260731,San Jose Diridon,134,1,,,1,1,,,
South County,819:20260731,819:20260731,San Jose Diridon,819,0,,,1,1,,,
Local Weekday,108:20260731,108:20260731,Tamien,108,1,,,1,1,,,
Local Weekday,M110:20260731,M110:20260731,San Jose Diridon,M110,1,,,1,1,,,
Local Weekday,138:20260731,138:20260731,San Jose Diridon,138,1,,,1,1,,,
South County,822:20260731,822:20260731,Gilroy,822,1,,,1,1,,,
Local Weekday,M164:20260731,M164:20260731,Tamien,M164,1,,,1,1,,,
Local Weekday,M168:20260731,M168:20260731,Tamien,M168,1,,,1,1,,,
Local Weekday,M106:20260731,M106:20260731,San Jose Diridon,M106,1,,,1,1,,,
Local Weekday,171:20260731,171:20260731,San Francisco,171,0,,,1,1,,,
Local Weekend,651:20260731,651:20260731,San Francisco,651,0,,,1,1,,,
Express,510:20260731,510:20260731,San Jose Diridon,510,1,,,1,1,,,
Local Weekday,141:20260731,141:20260731,San Francisco,141,0,,,1,1,,,
Local Weekday,M144:20260731,M144:20260731,Tamien,M144,1,,,1,1,,,
Local Weekday,113:20260731,113:20260731,San Francisco,113,0,,,1,1,,,
Local Weekend,619:20260731,619:20260731,San Francisco,619,0,,,1,1,,,
Local Weekday,125:20260731,125:20260731,San Francisco,125,0,,,1,1,,,
Local Weekday,M172:20260731,M172:20260731,Tamien,M172,1,,,1,1,,,
Local Weekday,M163:20260731,M163:20260731,San Francisco,M163,0,,,1,1,,,
Local Weekday,M165:20260731,M165:20260731,San Francisco,M165,0,,,1,1,,,
Local Weekday,165:20260731,165:20260731,San Francisco,165,0,,,1,1,,,
Local Weekend,610:20260731,610:20260731,Tamien,610,1,,,1,1,,,
Limited,412:20260731,412:20260731,San Jose Diridon,412,1,,,1,1,,,
Local Weekend,663:20260731,663:20260731,San Francisco,663,0,,,1,1,,,
Local Weekday,153:20260731,153:20260731,San Francisco,153,0,,,1,1,,,
Local Weekday,M136:20260731,M136:20260731,Tamien,M136,1,,,1,1,,,
Local Weekend,634:20260731,634:20260731,Tamien,634,1,,,1,1,,,
Local Weekday,157:20260731,157:20260731,San Francisco,157,0,,,1,1,,,
Local Weekday,140:20260731,140:20260731,Tamien,140,1,,,1,1,,,
Local Weekday,102:20260731,102:20260731,San Jose Diridon,102,1,,,1,1,,,
