fare_id,route_id,origin_id,destination_id,contains_id
344448,,75298,75302,
344448,,75302,75298,
344447,,75299,75302,
344447,,75298,75301,
344447,,75302,75299,
344447,,75301,75298,
344446,,75297,75302,
344446,,75299,75301,
344446,,75298,75300,
344446,,75302,75297,
344446,,75301,75299,
344446,,75300,75298,
344445,,75297,75298,
344445,,75297,75301,
344445,,75299,75300,
344445,,75298,75297,
344445,,75302,75300,
344445,,75301,75297,
344445,,75300,75299,
344445,,75300,75302,
344444,,75297,75299,
344444,,75297,75300,
344444,,75299,75297,
344444,,75299,75298,
344444,,75298,75299,
344444,,75302,75301,
344444,,75301,75302,
344444,,75301,75300,
344444,,75300,75297,
344444,,75300,75301,
344443,,75297,75297,
344443,,75299,75299,
344443,,75298,75298,
344443,,75302,75302,
344443,,75301,75301,
344443,,75300,75300,
