fare_id,rider_category_id,price,expiration_date,commencement_date
331053,2,6.75,,
331053,5,6.75,,
331053,6,6.75,,
331053,15,6.75,,
331052,2,5.75,,
331052,5,5.75,,
331052,6,5.75,,
331052,15,5.75,,
331051,2,4.75,,
331051,5,4.75,,
331051,6,4.75,,
331051,15,4.75,,
331050,2,3.75,,
331050,5,3.75,,
331050,6,3.75,,
331050,15,3.75,,
331049,2,2.75,,
331049,5,2.75,,
331049,6,2.75,,
331049,15,2.75,,
331048,2,1.75,,
331048,5,1.75,,
331048,6,1.75,,
331048,15,1.75,,
