route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Local Weekday,112:20251130,112:20251130,San Jose Diridon,112,1,,,1,1
Local Weekday,M122:20251130,M122:20251130,San Jose Diridon,M122,1,,,1,1
Local Weekday,M126:20251130,M126:20251130,San Jose Diridon,M126,1,,,1,1
Local Weekend,648:20251130,648:20251130,San Jose Diridon,648,1,,,1,1
Local Weekend,656:20251130,656:20251130,San Jose Diridon,656,1,,,1,1
Local Weekday,172:20251130,172:20251130,San Jose Diridon,172,1,,,1,1
Local Weekday,M101:20251130,M101:20251130,San Francisco,M101,0,,,1,1
Local Weekday,M142:20251130,M142:20251130,San Jose Diridon,M142,1,,,1,1
Local Weekday,M105:20251130,M105:20251130,San Francisco,M105,0,,,1,1
Local Weekday,M107:20251130,M107:20251130,San Francisco,M107,0,,,1,1
Local Weekend,632:20251130,632:20251130,San Jose Diridon,632,1,,,1,1
Local Weekday,M111:20251130,M111:20251130,San Francisco,M111,0,,,1,1
Local Weekday,M167:20251130,M167:20251130,San Francisco,M167,0,,,1,1
South County,840:20251130,840:20251130,Gilroy,840,1,,,1,1
Local Weekday,M123:20251130,M123:20251130,San Francisco,M123,0,,,1,1
Local Weekend,657:20251130,657:20251130,San Francisco,657,0,,,1,1
Express,526:20251130,526:20251130,San Jose Diridon,526,1,,,1,1
Local Weekday,105:20251130,105:20251130,San Francisco,105,0,,,1,1
Local Weekend,609:20251130,609:20251130,San Francisco,609,0,,,1,1
Local Weekend,621:20251130,621:20251130,San Francisco,621,0,,,1,1
Local Weekday,M141:20251130,M141:20251130,San Francisco,M141,0,,,1,1
Local Weekday,134:20251130,134:20251130,San Jose Diridon,134,1,,,1,1
Local Weekday,M157:20251130,M157:20251130,San Francisco,M157,0,,,1,1
Local Weekend,629:20251130,629:20251130,San Francisco,629,0,,,1,1
Limited,408:20251130,408:20251130,San Jose Diridon,408,1,,,1,1
Local Weekday,106:20251130,106:20251130,San Jose Diridon,106,1,,,1,1
Local Weekday,124:20251130,124:20251130,San Jose Diridon,124,1,,,1,1
Local Weekend,641:20251130,641:20251130,San Francisco,641,0,,,1,1
Local Weekend,638:20251130,638:20251130,San Jose Diridon,638,1,,,1,1
South County,805:20251130,805:20251130,San Jose Diridon,805,0,,,1,1
Local Weekday,138:20251130,138:20251130,San Jose Diridon,138,1,,,1,1
Local Weekday,M153:20251130,M153:20251130,San Francisco,M153,0,,,1,1
Local Weekday,M134:20251130,M134:20251130,San Jose Diridon,M134,1,,,1,1
Local Weekday,154:20251130,154:20251130,San Jose Diridon,154,1,,,1,1
Local Weekday,M150:20251130,M150:20251130,San Jose Diridon,M150,1,,,1,1
Local Weekday,M172:20251130,M172:20251130,San Jose Diridon,M172,1,,,1,1
Local Weekday,M158:20251130,M158:20251130,San Jose Diridon,M158,1,,,1,1
Local Weekday,M164:20251130,M164:20251130,San Jose Diridon,M164,1,,,1,1
Local Weekday,141:20251130,141:20251130,San Francisco,141,0,,,1,1
Local Weekday,168:20251130,168:20251130,San Jose Diridon,168,1,,,1,1
Local Weekday,109:20251130,109:20251130,San Francisco,109,0,,,1,1
Limited,428:20251130,428:20251130,San Jose Diridon,428,1,,,1,1
Local Weekday,144:20251130,144:20251130,San Jose Diridon,144,1,,,1,1
Local Weekday,M148:20251130,M148:20251130,San Jose Diridon,M148,1,,,1,1
Local Weekend,601:20251130,601:20251130,San Francisco,601,0,,,1,1
Local Weekend,623:20251130,623:20251130,San Francisco,623,0,,,1,1
Local Weekend,650:20251130,650:20251130,San Jose Diridon,650,1,,,1,1
Local Weekday,167:20251130,167:20251130,San Francisco,167,0,,,1,1
Local Weekend,668:20251130,668:20251130,San Jose Diridon,668,1,,,1,1
Local Weekday,142:20251130,142:20251130,San Jose Diridon,142,1,,,1,1
Local Weekday,162:20251130,162:20251130,San Jose Diridon,162,1,,,1,1
Local Weekday,164:20251130,164:20251130,San Jose Diridon,164,1,,,1,1
Local Weekday,161:20251130,161:20251130,San Francisco,161,0,,,1,1
Local Weekend,636:20251130,636:20251130,San Jose Diridon,636,1,,,1,1
Express,515:20251130,515:20251130,San Francisco,515,0,,,1,1
Local Weekday,M114:20251130,M114:20251130,San Jose Diridon,M114,1,,,1,1
Local Weekday,151:20251130,151:20251130,San Francisco,151,0,,,1,1
Local Weekday,166:20251130,166:20251130,San Jose Diridon,166,1,,,1,1
Local Weekend,628:20251130,628:20251130,San Jose Diridon,628,1,,,1,1
Local Weekday,150:20251130,150:20251130,San Jose Diridon,150,1,,,1,1
Local Weekday,103:20251130,103:20251130,San Francisco,103,0,,,1,1
Local Weekday,173:20251130,173:20251130,San Francisco,173,0,,,1,1
Local Weekday,M120:20251130,M120:20251130,San Jose Diridon,M120,1,,,1,1
Local Weekday,129:20251130,129:20251130,San Francisco,129,0,,,1,1
Local Weekend,611:20251130,611:20251130,San Francisco,611,0,,,1,1
Local Weekend,612:20251130,612:20251130,San Jose Diridon,612,1,,,1,1
Limited,417:20251130,417:20251130,San Francisco,417,0,,,1,1
Limited,420:20251130,420:20251130,San Jose Diridon,420,1,,,1,1
Local Weekday,M156:20251130,M156:20251130,San Jose Diridon,M156,1,,,1,1
Local Weekday,M117:20251130,M117:20251130,San Francisco,M117,0,,,1,1
Local Weekday,155:20251130,155:20251130,San Francisco,155,0,,,1,1
Local Weekend,634:20251130,634:20251130,San Jose Diridon,634,1,,,1,1
Local Weekday,M118:20251130,M118:20251130,San Jose Diridon,M118,1,,,1,1
Local Weekday,M174:20251130,M174:20251130,San Jose Diridon,M174,1,,,1,1
Local Weekday,M135:20251130,M135:20251130,San Francisco,M135,0,,,1,1
Local Weekend,651:20251130,651:20251130,San Francisco,651,0,,,1,1
Local Weekday,118:20251130,118:20251130,San Jose Diridon,118,1,,,1,1
Local Weekday,M146:20251130,M146:20251130,San Jose Diridon,M146,1,,,1,1
Local Weekend,630:20251130,630:20251130,San Jose Diridon,630,1,,,1,1
Local Weekday,128:20251130,128:20251130,San Jose Diridon,128,1,,,1,1
Local Weekday,143:20251130,143:20251130,San Francisco,143,0,,,1,1
Express,502:20251130,502:20251130,San Jose Diridon,502,1,,,1,1
Local Weekday,116:20251130,116:20251130,San Jose Diridon,116,1,,,1,1
Local Weekday,M136:20251130,M136:20251130,San Jose Diridon,M136,1,,,1,1
