service_id,date,exception_type
107:20251130,20251130,2
145:20251130,20251130,2
660:20251130,20251130,1
663:20251130,20251130,1
626:20251130,20251130,1
M171:20251130,20251130,2
606:20251130,20251130,1
M147:20251130,20251130,2
116:20251130,20251130,2
M128:20251130,20251130,2
156:20251130,20251130,2
124:20251130,20251130,2
661:20251130,20251130,1
M114:20251130,20251130,2
121:20251130,20251130,2
M102:20251130,20251130,2
M151:20251130,20251130,2
615:20251130,20251130,1
126:20251130,20251130,2
M111:20251130,20251130,2
106:20251130,20251130,2
809:20251130,20251130,2
139:20251130,20251130,2
M110:20251130,20251130,2
112:20251130,20251130,2
636:20251130,20251130,1
M165:20251130,20251130,2
122:20251130,20251130,2
147:20251130,20251130,2
616:20251130,20251130,1
506:20251130,20251130,2
654:20251130,20251130,1
638:20251130,20251130,1
M112:20251130,20251130,2
613:20251130,20251130,1
131:20251130,20251130,2
515:20251130,20251130,2
167:20251130,20251130,2
151:20251130,20251130,2
159:20251130,20251130,2
152:20251130,20251130,2
111:20251130,20251130,2
M154:20251130,20251130,2
170:20251130,20251130,2
523:20251130,20251130,2
M121:20251130,20251130,2
114:20251130,20251130,2
511:20251130,20251130,2
M122:20251130,20251130,2
146:20251130,20251130,2
M173:20251130,20251130,2
653:20251130,20251130,1
627:20251130,20251130,1
811:20251130,20251130,2
405:20251130,20251130,2
428:20251130,20251130,2
622:20251130,20251130,1
416:20251130,20251130,2
408:20251130,20251130,2
M143:20251130,20251130,2
113:20251130,20251130,2
629:20251130,20251130,1
612:20251130,20251130,1
640:20251130,20251130,1
848:20251130,20251130,2
M149:20251130,20251130,2
522:20251130,20251130,2
409:20251130,20251130,2
814:20251130,20251130,2
176:20251130,20251130,2
M113:20251130,20251130,2
644:20251130,20251130,1
502:20251130,20251130,2
609:20251130,20251130,1
149:20251130,20251130,2
M103:20251130,20251130,2
664:20251130,20251130,1
822:20251130,20251130,2
420:20251130,20251130,2
M135:20251130,20251130,2
665:20251130,20251130,1
625:20251130,20251130,1
M148:20251130,20251130,2
160:20251130,20251130,2
650:20251130,20251130,1
639:20251130,20251130,1
647:20251130,20251130,1
105:20251130,20251130,2
110:20251130,20251130,2
173:20251130,20251130,2
630:20251130,20251130,1
134:20251130,20251130,2
M106:20251130,20251130,2
840:20251130,20251130,2
603:20251130,20251130,1
621:20251130,20251130,1
M160:20251130,20251130,2
174:20251130,20251130,2
119:20251130,20251130,2
M125:20251130,20251130,2
601:20251130,20251130,1
M127:20251130,20251130,2
M134:20251130,20251130,2
166:20251130,20251130,2
614:20251130,20251130,1
631:20251130,20251130,1
125:20251130,20251130,2
620:20251130,20251130,1
M153:20251130,20251130,2
172:20251130,20251130,2
