route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
Limited,401:20260831,401:20260831,San Francisco,401,0,,,1,1,,,
South County,820:20260831,820:20260831,Gilroy,820,1,,,1,1,,,
Local Weekday,132:20260831,132:20260831,Tamien,132,1,,,1,1,,,
Local Weekday,M151:20260831,M151:20260831,San Francisco,M151,0,,,1,1,,,
Local Weekday,105:20260831,105:20260831,San Francisco,105,0,,,1,1,,,
Local Weekday,121:20260831,121:20260831,San Francisco,121,0,,,1,1,,,
Local Weekday,158:20260831,158:20260831,San Jose Diridon,158,1,,,1,1,,,
Local Weekday,166:20260831,166:20260831,San Jose Diridon,166,1,,,1,1,,,
Local Weekend,628:20260831,628:20260831,San Jose Diridon,628,1,,,1,1,,,
Local Weekend,603:20260831,603:20260831,San Francisco,603,0,,,1,1,,,
Local Weekday,137:20260831,137:20260831,San Francisco,137,0,,,1,1,,,
Local Weekday,M174:20260831,M174:20260831,San Jose Diridon,M174,1,,,1,1,,,
Local Weekday,M170:20260831,M170:20260831,San Jose Diridon,M170,1,,,1,1,,,
Local Weekend,622:20260831,622:20260831,Tamien,622,1,,,1,1,,,
Express,511:20260831,511:20260831,San Francisco,511,0,,,1,1,,,
Local Weekday,M132:20260831,M132:20260831,Tamien,M132,1,,,1,1,,,
Local Weekday,M150:20260831,M150:20260831,San Jose Diridon,M150,1,,,1,1,,,
Limited,429:20260831,429:20260831,San Francisco,429,0,,,1,1,,,
Local Weekend,605:20260831,605:20260831,San Francisco,605,0,,,1,1,,,
Local Weekend,608:20260831,608:20260831,San Jose Diridon,608,1,,,1,1,,,
Limited,417:20260831,417:20260831,San Francisco,417,0,,,1,1,,,
Local Weekday,M158:20260831,M158:20260831,San Jose Diridon,M158,1,,,1,1,,,
Local Weekday,162:20260831,162:20260831,San Jose Diridon,162,1,,,1,1,,,
Local Weekend,618:20260831,618:20260831,Tamien,618,1,,,1,1,,,
Local Weekend,647:20260831,647:20260831,San Francisco,647,0,,,1,1,,,
Local Weekday,M133:20260831,M133:20260831,San Francisco,M133,0,,,1,1,,,
Local Weekday,136:20260831,136:20260831,Tamien,136,1,,,1,1,,,
Local Weekday,905:20260831,905:20260831,San Francisco,905,0,,,1,1,,,
Local Weekday,M140:20260831,M140:20260831,Tamien,M140,1,,,1,1,,,
Local Weekday,M123:20260831,M123:20260831,San Francisco,M123,0,,,1,1,,,
Local Weekend,662:20260831,662:20260831,Tamien,662,1,,,1,1,,,
Local Weekend,633:20260831,633:20260831,San Francisco,633,0,,,1,1,,,
Limited,408:20260831,408:20260831,San Jose Diridon,408,1,,,1,1,,,
Local Weekday,104:20260831,104:20260831,Tamien,104,1,,,1,1,,,
Limited,424:20260831,424:20260831,San Jose Diridon,424,1,,,1,1,,,
Local Weekday,M141:20260831,M141:20260831,San Francisco,M141,0,,,1,1,,,
Local Weekday,M142:20260831,M142:20260831,San Jose Diridon,M142,1,,,1,1,,,
Local Weekday,127:20260831,127:20260831,San Francisco,127,0,,,1,1,,,
Local Weekday,M167:20260831,M167:20260831,San Francisco,M167,0,,,1,1,,,
Local Weekend,658:20260831,658:20260831,Tamien,658,1,,,1,1,,,
Express,518:20260831,518:20260831,San Jose Diridon,518,1,,,1,1,,,
Limited,421:20260831,421:20260831,San Francisco,421,0,,,1,1,,,
Local Weekday,117:20260831,117:20260831,San Francisco,117,0,,,1,1,,,
Local Weekday,122:20260831,122:20260831,San Jose Diridon,122,1,,,1,1,,,
Local Weekday,M135:20260831,M135:20260831,San Francisco,M135,0,,,1,1,,,
Local Weekend,625:20260831,625:20260831,San Francisco,625,0,,,1,1,,,
Local Weekday,143:20260831,143:20260831,San Francisco,143,0,,,1,1,,,
Local Weekday,170:20260831,170:20260831,San Jose Diridon,170,1,,,1,1,,,
Express,526:20260831,526:20260831,San Jose Diridon,526,1,,,1,1,,,
Express,503:20260831,503:20260831,San Francisco,503,0,,,1,1,,,
Local Weekday,M105:20260831,M105:20260831,San Francisco,M105,0,,,1,1,,,
Local Weekday,M113:20260831,M113:20260831,San Francisco,M113,0,,,1,1,,,
Local Weekday,M162:20260831,M162:20260831,San Jose Diridon,M162,1,,,1,1,,,
Local Weekday,151:20260831,151:20260831,San Francisco,151,0,,,1,1,,,
Local Weekend,617:20260831,617:20260831,San Francisco,617,0,,,1,1,,,
Local Weekend,660:20260831,660:20260831,San Jose Diridon,660,1,,,1,1,,,
Local Weekend,659:20260831,659:20260831,San Francisco,659,0,,,1,1,,,
South County,809:20260831,809:20260831,San Jose Diridon,809,0,,,1,1,,,
Local Weekday,150:20260831,150:20260831,San Jose Diridon,150,1,,,1,1,,,
Local Weekday,169:20260831,169:20260831,San Francisco,169,0,,,1,1,,,
Local Weekday,M156:20260831,M156:20260831,Tamien,M156,1,,,1,1,,,
Local Weekday,M126:20260831,M126:20260831,San Jose Diridon,M126,1,,,1,1,,,
Local Weekend,644:20260831,644:20260831,San Jose Diridon,644,1,,,1,1,,,
Express,514:20260831,514:20260831,San Jose Diridon,514,1,,,1,1,,,
Express,527:20260831,527:20260831,San Francisco,527,0,,,1,1,,,
Local Weekday,109:20260831,109:20260831,San Francisco,109,0,,,1,1,,,
Local Weekday,145:20260831,145:20260831,San Francisco,145,0,,,1,1,,,
Local Weekend,602:20260831,602:20260831,Tamien,602,1,,,1,1,,,
Local Weekend,609:20260831,609:20260831,San Francisco,609,0,,,1,1,,,
Limited,425:20260831,425:20260831,San Francisco,425,0,,,1,1,,,
Local Weekday,M134:20260831,M134:20260831,San Jose Diridon,M134,1,,,1,1,,,
Local Weekday,M111:20260831,M111:20260831,San Francisco,M111,0,,,1,1,,,
Local Weekend,639:20260831,639:20260831,San Francisco,639,0,,,1,1,,,
Limited,413:20260831,413:20260831,San Francisco,413,0,,,1,1,,,
South County,816:20260831,816:20260831,Gilroy,816,1,,,1,1,,,
Local Weekday,152:20260831,152:20260831,Tamien,152,1,,,1,1,,,
Local Weekday,M154:20260831,M154:20260831,San Jose Diridon,M154,1,,,1,1,,,
Local Weekend,638:20260831,638:20260831,Tamien,638,1,,,1,1,,,
South County,807:20260831,807:20260831,San Jose Diridon,807,0,,,1,1,,,
Local Weekday,M129:20260831,M129:20260831,San Francisco,M129,0,,,1,1,,,
Local Weekend,648:20260831,648:20260831,San Jose Diridon,648,1,,,1,1,,,
Local Weekend,631:20260831,631:20260831,San Francisco,631,0,,,1,1,,,
Local Weekday,103:20260831,103:20260831,San Francisco,103,0,,,1,1,,,
Local Weekday,155:20260831,155:20260831,San Francisco,155,0,,,1,1,,,
Local Weekend,643:20260831,643:20260831,San Francisco,643,0,,,1,1,,,
Local Weekday,M118:20260831,M118:20260831,San Jose Diridon,M118,1,,,1,1,,,
Local Weekday,119:20260831,119:20260831,San Francisco,119,0,,,1,1,,,
Local Weekday,176:20260831,176:20260831,Tamien,176,1,,,1,1,,,
Local Weekday,107:20260831,107:20260831,San Francisco,107,0,,,1,1,,,
Local Weekday,M171:20260831,M171:20260831,San Francisco,M171,0,,,1,1,,,
Local Weekend,604:20260831,604:20260831,San Jose Diridon,604,1,,,1,1,,,
Local Weekend,661:20260831,661:20260831,San Francisco,661,0,,,1,1,,,
Express,507:20260831,507:20260831,San Francisco,507,0,,,1,1,,,
Local Weekday,M128:20260831,M128:20260831,Tamien,M128,1,,,1,1,,,
Local Weekday,164:20260831,164:20260831,Tamien,164,1,,,1,1,,,
Local Weekday,M138:20260831,M138:20260831,San Jose Diridon,M138,1,,,1,1,,,
Local Weekday,M166:20260831,M166:20260831,San Jose Diridon,M166,1,,,1,1,,,
Local Weekend,641:20260831,641:20260831,San Francisco,641,0,,,1,1,,,
Local Weekday,101:20260831,101:20260831,San Francisco,101,0,,,1,1,,,
Local Weekday,M169:20260831,M169:20260831,San Francisco,M169,0,,,1,1,,,
Local Weekday,M130:20260831,M130:20260831,San Jose Diridon,M130,1,,,1,1,,,
Limited,416:20260831,416:20260831,San Jose Diridon,416,1,,,1,1,,,
Local Weekday,112:20260831,112:20260831,Tamien,112,1,,,1,1,,,
Local Weekday,M147:20260831,M147:20260831,San Francisco,M147,0,,,1,1,,,
Local Weekday,M101:20260831,M101:20260831,San Francisco,M101,0,,,1,1,,,
Local Weekday,174:20260831,174:20260831,San Jose Diridon,174,1,,,1,1,,,
