service_id,date,exception_type
514:20260831,20260831,1
604:20260831,20260831,2
M103:20260831,20260831,2
166:20260831,20260831,1
173:20260831,20260831,1
665:20260831,20260831,2
632:20260831,20260831,2
M115:20260831,20260831,2
170:20260831,20260831,1
622:20260831,20260831,2
M156:20260831,20260831,2
140:20260831,20260831,1
M165:20260831,20260831,2
110:20260831,20260831,1
655:20260831,20260831,2
103:20260831,20260831,1
M148:20260831,20260831,2
657:20260831,20260831,2
401:20260831,20260831,1
M147:20260831,20260831,2
819:20260831,20260831,2
M108:20260831,20260831,2
660:20260831,20260831,2
M131:20260831,20260831,2
151:20260831,20260831,1
106:20260831,20260831,1
M135:20260831,20260831,2
120:20260831,20260831,1
409:20260831,20260831,1
807:20260831,20260831,1
M139:20260831,20260831,2
617:20260831,20260831,2
M114:20260831,20260831,2
101:20260831,20260831,1
155:20260831,20260831,1
658:20260831,20260831,2
165:20260831,20260831,1
M120:20260831,20260831,2
104:20260831,20260831,1
M172:20260831,20260831,2
168:20260831,20260831,1
M128:20260831,20260831,2
149:20260831,20260831,1
167:20260831,20260831,1
651:20260831,20260831,2
M166:20260831,20260831,2
M123:20260831,20260831,2
664:20260831,20260831,2
522:20260831,20260831,1
164:20260831,20260831,1
656:20260831,20260831,2
176:20260831,20260831,1
124:20260831,20260831,1
128:20260831,20260831,1
129:20260831,20260831,1
M106:20260831,20260831,2
M144:20260831,20260831,2
M174:20260831,20260831,2
161:20260831,20260831,1
814:20260831,20260831,1
M161:20260831,20260831,2
805:20260831,20260831,1
511:20260831,20260831,1
M176:20260831,20260831,2
156:20260831,20260831,1
M149:20260831,20260831,2
M125:20260831,20260831,2
M134:20260831,20260831,2
618:20260831,20260831,2
M168:20260831,20260831,2
643:20260831,20260831,2
631:20260831,20260831,2
M143:20260831,20260831,2
609:20260831,20260831,2
633:20260831,20260831,2
421:20260831,20260831,1
527:20260831,20260831,1
122:20260831,20260831,1
647:20260831,20260831,2
626:20260831,20260831,2
605:20260831,20260831,2
153:20260831,20260831,1
620:20260831,20260831,2
624:20260831,20260831,2
144:20260831,20260831,1
646:20260831,20260831,2
425:20260831,20260831,1
515:20260831,20260831,1
