service_id,date,exception_type
124:20260531,20260531,2
M123:20260531,20260531,2
159:20260531,20260531,2
412:20260531,20260531,2
409:20260531,20260531,2
174:20260531,20260531,2
165:20260531,20260531,2
104:20260531,20260531,2
M102:20260531,20260531,2
811:20260531,20260531,2
139:20260531,20260531,2
604:20260531,20260531,1
M128:20260531,20260531,2
503:20260531,20260531,2
158:20260531,20260531,2
616:20260531,20260531,1
M164:20260531,20260531,2
173:20260531,20260531,2
M140:20260531,20260531,2
105:20260531,20260531,2
M141:20260531,20260531,2
625:20260531,20260531,1
641:20260531,20260531,1
527:20260531,20260531,2
660:20260531,20260531,1
102:20260531,20260531,2
131:20260531,20260531,2
661:20260531,20260531,1
156:20260531,20260531,2
624:20260531,20260531,1
109:20260531,20260531,2
404:20260531,20260531,2
M144:20260531,20260531,2
130:20260531,20260531,2
614:20260531,20260531,1
619:20260531,20260531,1
M111:20260531,20260531,2
113:20260531,20260531,2
155:20260531,20260531,2
637:20260531,20260531,1
611:20260531,20260531,1
135:20260531,20260531,2
M148:20260531,20260531,2
416:20260531,20260531,2
417:20260531,20260531,2
M132:20260531,20260531,2
143:20260531,20260531,2
167:20260531,20260531,2
154:20260531,20260531,2
142:20260531,20260531,2
502:20260531,20260531,2
644:20260531,20260531,1
111:20260531,20260531,2
606:20260531,20260531,1
127:20260531,20260531,2
636:20260531,20260531,1
630:20260531,20260531,1
M143:20260531,20260531,2
609:20260531,20260531,1
M157:20260531,20260531,2
654:20260531,20260531,1
M147:20260531,20260531,2
607:20260531,20260531,1
134:20260531,20260531,2
603:20260531,20260531,1
151:20260531,20260531,2
M162:20260531,20260531,2
642:20260531,20260531,1
M158:20260531,20260531,2
429:20260531,20260531,2
639:20260531,20260531,1
M166:20260531,20260531,2
421:20260531,20260531,2
649:20260531,20260531,1
123:20260531,20260531,2
171:20260531,20260531,2
M145:20260531,20260531,2
655:20260531,20260531,1
627:20260531,20260531,1
662:20260531,20260531,1
514:20260531,20260531,2
148:20260531,20260531,2
M124:20260531,20260531,2
M113:20260531,20260531,2
645:20260531,20260531,1
150:20260531,20260531,2
632:20260531,20260531,1
626:20260531,20260531,1
807:20260531,20260531,2
510:20260531,20260531,2
M171:20260531,20260531,2
617:20260531,20260531,1
805:20260531,20260531,2
615:20260531,20260531,1
425:20260531,20260531,2
M130:20260531,20260531,2
M114:20260531,20260531,2
M153:20260531,20260531,2
623:20260531,20260531,1
122:20260531,20260531,2
635:20260531,20260531,1
153:20260531,20260531,2
M163:20260531,20260531,2
144:20260531,20260531,2
M121:20260531,20260531,2
515:20260531,20260531,2
M170:20260531,20260531,2
420:20260531,20260531,2
140:20260531,20260531,2
511:20260531,20260531,2
M117:20260531,20260531,2
128:20260531,20260531,2
659:20260531,20260531,1
424:20260531,20260531,2
145:20260531,20260531,2
507:20260531,20260531,2
M125:20260531,20260531,2
822:20260531,20260531,2
652:20260531,20260531,1
M109:20260531,20260531,2
640:20260531,20260531,1
147:20260531,20260531,2
819:20260531,20260531,2
M160:20260531,20260531,2
M155:20260531,20260531,2
168:20260531,20260531,2
107:20260531,20260531,2
M101:20260531,20260531,2
522:20260531,20260531,2
M107:20260531,20260531,2
126:20260531,20260531,2
169:20260531,20260531,2
408:20260531,20260531,2
657:20260531,20260531,1
146:20260531,20260531,2
149:20260531,20260531,2
M154:20260531,20260531,2
M156:20260531,20260531,2
116:20260531,20260531,2
620:20260531,20260531,1
825:20260531,20260531,2
M152:20260531,20260531,2
M118:20260531,20260531,2
118:20260531,20260531,2
610:20260531,20260531,1
523:20260531,20260531,2
166:20260531,20260531,2
526:20260531,20260531,2
129:20260531,20260531,2
120:20260531,20260531,2
M168:20260531,20260531,2
170:20260531,20260531,2
106:20260531,20260531,2
M110:20260531,20260531,2
638:20260531,20260531,1
133:20260531,20260531,2
M119:20260531,20260531,2
M134:20260531,20260531,2
157:20260531,20260531,2
M172:20260531,20260531,2
519:20260531,20260531,2
M115:20260531,20260531,2
809:20260531,20260531,2
161:20260531,20260531,2
M133:20260531,20260531,2
141:20260531,20260531,2
664:20260531,20260531,1
518:20260531,20260531,2
M127:20260531,20260531,2
176:20260531,20260531,2
M131:20260531,20260531,2
M176:20260531,20260531,2
506:20260531,20260531,2
M173:20260531,20260531,2
820:20260531,20260531,2
M104:20260531,20260531,2
840:20260531,20260531,2
119:20260531,20260531,2
115:20260531,20260531,2
622:20260531,20260531,1
848:20260531,20260531,2
M137:20260531,20260531,2
M149:20260531,20260531,2
602:20260531,20260531,1
658:20260531,20260531,1
163:20260531,20260531,2
M120:20260531,20260531,2
612:20260531,20260531,1
M169:20260531,20260531,2
M151:20260531,20260531,2
601:20260531,20260531,1
M108:20260531,20260531,2
137:20260531,20260531,2
112:20260531,20260531,2
M126:20260531,20260531,2
M106:20260531,20260531,2
M129:20260531,20260531,2
M165:20260531,20260531,2
M116:20260531,20260531,2
108:20260531,20260531,2
103:20260531,20260531,2
816:20260531,20260531,2
M105:20260531,20260531,2
M142:20260531,20260531,2
M138:20260531,20260531,2
629:20260531,20260531,1
152:20260531,20260531,2
125:20260531,20260531,2
172:20260531,20260531,2
164:20260531,20260531,2
M103:20260531,20260531,2
160:20260531,20260531,2
M161:20260531,20260531,2
653:20260531,20260531,1
647:20260531,20260531,1
M150:20260531,20260531,2
136:20260531,20260531,2
117:20260531,20260531,2
138:20260531,20260531,2
101:20260531,20260531,2
405:20260531,20260531,2
648:20260531,20260531,1
114:20260531,20260531,2
631:20260531,20260531,1
M146:20260531,20260531,2
M135:20260531,20260531,2
613:20260531,20260531,1
643:20260531,20260531,1
650:20260531,20260531,1
656:20260531,20260531,1
668:20260531,20260531,1
651:20260531,20260531,1
605:20260531,20260531,1
M112:20260531,20260531,2
814:20260531,20260531,2
M122:20260531,20260531,2
646:20260531,20260531,1
621:20260531,20260531,1
162:20260531,20260531,2
401:20260531,20260531,2
110:20260531,20260531,2
M167:20260531,20260531,2
665:20260531,20260531,1
121:20260531,20260531,2
634:20260531,20260531,1
608:20260531,20260531,1
M139:20260531,20260531,2
M159:20260531,20260531,2
628:20260531,20260531,1
413:20260531,20260531,2
